paint_id,brand,paint_name,paint_type,color_family,hex,status,source_group,source_column,source_row,notes
citadel_base_abaddon_black,Citadel,Abaddon Black,Base,Black and Grey,#231F20,Active,Base Paints Name,A,3,
citadel_base_averland_sunset,Citadel,Averland Sunset,Base,Yellow,#FCB825,Active,Base Paints Name,A,4,
citadel_base_balthasar_gold,Citadel,Balthasar Gold,Base,Gold,#87542F,Active,Base Paints Name,A,5,
citadel_base_barak_nar_burgundy,Citadel,Barak-Nar Burgundy,Base,Red,,Active,Base Paints Name,A,6,
citadel_base_bugman_s_glow,Citadel,Bugman's Glow,Base,Brown,#845045,Active,Base Paints Name,A,7,
citadel_base_caledor_sky,Citadel,Caledor Sky,Base,Blue,#396F9E,Active,Base Paints Name,A,8,
citadel_base_caliban_green,Citadel,Caliban Green,Base,Green,#00401E,Active,Base Paints Name,A,9,
citadel_base_castellan_green,Citadel,Castellan Green,Base,Green,#304921,Active,Base Paints Name,A,10,
citadel_base_catachan_flesh,Citadel,Catachan Flesh,Base,Brown,,Active,Base Paints Name,A,11,
citadel_base_celestra_grey,Citadel,Celestra Grey,Base,Black and Grey,#90A8A8,Active,Base Paints Name,A,12,
citadel_base_corax_white,Citadel,Corax White,Base,White,#FFFFFF,Active,Base Paints Name,A,13,
citadel_base_corvus_black,Citadel,Corvus Black,Base,Black and Grey,,Active,Base Paints Name,A,14,
citadel_base_daemonette_hide,Citadel,Daemonette Hide,Base,Purple,#696685,Active,Base Paints Name,A,15,
citadel_base_death_guard_green,Citadel,Death Guard Green,Base,Green,#9C9171,Active,Base Paints Name,A,16,
citadel_base_death_korps_drab,Citadel,Death Korps Drab,Base,Brown,,Active,Base Paints Name,A,17,
citadel_base_deathworld_forest,Citadel,Deathworld Forest,Base,Brown,#5D6732,Active,Base Paints Name,A,18,
citadel_base_dryad_bark,Citadel,Dryad Bark,Base,Brown,#34312C,Active,Base Paints Name,A,19,
citadel_base_gal_vorbak_red,Citadel,Gal Vorbak Red,Base,Red,,Active,Base Paints Name,A,20,
citadel_base_grey_knights_steel,Citadel,Grey Knights Steel,Base,Black and Grey,,Active,Base Paints Name,A,21,
citadel_base_grey_seer,Citadel,Grey Seer,Base,Black and Grey,,Active,Base Paints Name,A,22,
citadel_base_hobgrot_hide,Citadel,Hobgrot Hide,Base,Brown,,Active,Base Paints Name,A,23,
citadel_base_incubi_darkness,Citadel,Incubi Darkness,Base,Blue-Green,#0B4849,Active,Base Paints Name,A,24,
citadel_base_ionrach_skin,Citadel,Ionrach Skin,Base,Brown,,Active,Base Paints Name,A,25,
citadel_base_iron_hands_steel,Citadel,Iron Hands Steel,Base,Silver,,Active,Base Paints Name,A,26,
citadel_base_iron_warriors,Citadel,Iron Warriors,Base,Silver,,Active,Base Paints Name,A,27,
citadel_base_jokaero_orange,Citadel,Jokaero Orange,Base,Orange,#EE3823,Active,Base Paints Name,A,28,
citadel_base_kantor_blue,Citadel,Kantor Blue,Base,Blue,#002051,Active,Base Paints Name,A,29,
citadel_base_khorne_red,Citadel,Khorne Red,Base,Red,#6A0002,Active,Base Paints Name,A,30,
citadel_base_leadbelcher,Citadel,Leadbelcher,Base,Silver,#475659,Active,Base Paints Name,A,31,
citadel_base_lupercal_green,Citadel,Lupercal Green,Base,Green,,Active,Base Paints Name,B,3,
citadel_base_macragge_blue,Citadel,Macragge Blue,Base,Blue,#0D407F,Active,Base Paints Name,B,4,
citadel_base_mechanicus_std_grey,Citadel,Mechanicus Std Grey,Base,Black and Grey,,Active,Base Paints Name,B,5,
citadel_base_mephiston_red,Citadel,Mephiston Red,Base,Red,#991115,Active,Base Paints Name,B,6,
citadel_base_morghast_bone,Citadel,Morghast Bone,Base,Brown,,Active,Base Paints Name,B,8,
citadel_base_mournfang_brown,Citadel,Mournfang Brown,Base,Brown,#650A09,Active,Base Paints Name,B,10,
citadel_base_naggaroth_night,Citadel,Naggaroth Night,Base,Purple,#3E3355,Active,Base Paints Name,B,7,
citadel_base_night_lords_blue,Citadel,Night Lords Blue,Base,Blue,,Active,Base Paints Name,B,9,
citadel_base_nocturne_green,Citadel,Nocturne Green,Base,Green,,Active,Base Paints Name,B,11,
citadel_base_orruk_flesh,Citadel,Orruk Flesh,Base,Brown,,Active,Base Paints Name,B,12,
citadel_base_phoenician_purple,Citadel,Phoenician Purple,Base,Purple,,Active,Base Paints Name,B,13,
citadel_base_rakarth_flesh,Citadel,Rakarth Flesh,Base,Brown,#A29E92,Active,Base Paints Name,B,14,
citadel_base_ratskin_flesh,Citadel,Ratskin Flesh,Base,Brown,#AE6B4E,Active,Base Paints Name,B,15,
citadel_base_retributor_armour,Citadel,Retributor Armour,Base,Gold,#CEAE65,Active,Base Paints Name,B,16,
citadel_base_rhinox_hide,Citadel,Rhinox Hide,Base,Brown,#493335,Active,Base Paints Name,B,17,
citadel_base_runelord_brass,Citadel,Runelord Brass,Base,Brass,#BCAFA0,Active,Base Paints Name,B,18,
citadel_base_screamer_pink,Citadel,Screamer Pink,Base,Pink,#7C1645,Active,Base Paints Name,B,19,
citadel_base_screaming_bell,Citadel,Screaming Bell,Base,Bronze,#B3562B,Active,Base Paints Name,B,20,
citadel_base_steel_legion_drab,Citadel,Steel Legion Drab,Base,Brown,#5F5134,Active,Base Paints Name,B,21,
citadel_base_stegadon_scale_green,Citadel,Stegadon Scale Green,Base,Blue-Green,#074864,Active,Base Paints Name,B,22,
citadel_base_the_fang,Citadel,The Fang,Base,Black and Grey,#436276,Active,Base Paints Name,B,23,
citadel_base_thondia_brown,Citadel,Thondia Brown,Base,Brown,,Active,Base Paints Name,B,24,
citadel_base_thousand_sons_blue,Citadel,Thousand Sons Blue,Base,Blue,#18ABCC,Active,Base Paints Name,B,25,
citadel_base_waaagh_flesh,Citadel,Waaagh! Flesh,Base,Green,#20552B,Active,Base Paints Name,B,28,
citadel_base_warplock_bronze,Citadel,Warplock Bronze,Base,Bronze,#695154,Active,Base Paints Name,B,26,
citadel_base_wraithbone,Citadel,Wraithbone,Base,Brown,,Active,Base Paints Name,B,29,
citadel_base_xv_88,Citadel,XV-88,Base,Brown,#72481E,Active,Base Paints Name,B,27,
citadel_base_zandri_dust,Citadel,Zandri Dust,Base,Brown,#9E915C,Active,Base Paints Name,B,30,
citadel_contrast_aeldari_emerald,Citadel,Aeldari Emerald,Contrast,Green,,Active,Contrast Paint Name,F,3,
citadel_contrast_aethermatic_blue,Citadel,Aethermatic Blue,Contrast,Blue,,Active,Contrast Paint Name,F,4,
citadel_contrast_aggaros_dunes,Citadel,Aggaros Dunes,Contrast,Brown,,Active,Contrast Paint Name,F,5,
citadel_contrast_akhelian_green,Citadel,Akhelian Green,Contrast,Green,,Active,Contrast Paint Name,F,6,
citadel_contrast_apothecary_white,Citadel,Apothecary White,Contrast,White,,Active,Contrast Paint Name,F,7,
citadel_contrast_asurmen_blue,Citadel,Asurmen Blue,Contrast,Blue,,Active,Contrast Paint Name,F,8,
citadel_contrast_baal_red,Citadel,Baal Red,Contrast,Red,,Active,Contrast Paint Name,F,9,
citadel_contrast_bad_moon_yellow,Citadel,Bad Moon Yellow,Contrast,Yellow,,Active,Contrast Paint Name,F,10,
citadel_contrast_basilicanum_grey,Citadel,Basilicanum Grey,Contrast,Black and Grey,,Active,Contrast Paint Name,F,11,
citadel_contrast_black_legion,Citadel,Black Legion,Contrast,Black and Grey,,Active,Contrast Paint Name,F,12,
citadel_contrast_black_templar,Citadel,Black Templar,Contrast,Black and Grey,,Active,Contrast Paint Name,F,13,
citadel_contrast_blood_angels_red,Citadel,Blood Angels Red,Contrast,Red,,Active,Contrast Paint Name,F,14,
citadel_contrast_briar_queen_chill,Citadel,Briar Queen Chill,Contrast,Blue,,Active,Contrast Paint Name,F,15,
citadel_contrast_celestium_blue,Citadel,Celestium Blue,Contrast,Blue,,Active,Contrast Paint Name,F,16,
citadel_contrast_creed_camo,Citadel,Creed Camo,Contrast,Green,,Active,Contrast Paint Name,F,17,
citadel_contrast_cygor_brown,Citadel,Cygor Brown,Contrast,Brown,,Active,Contrast Paint Name,F,18,
citadel_contrast_dark_angels_green,Citadel,Dark Angels Green,Contrast,Green,,Active,Contrast Paint Name,F,19,
citadel_contrast_darkoath_flesh,Citadel,Darkoath Flesh,Contrast,Brown,,Active,Contrast Paint Name,F,20,
citadel_contrast_doomfire_magenta,Citadel,Doomfire Magenta,Contrast,Pink,,Active,Contrast Paint Name,F,21,
citadel_contrast_dreadful_visage,Citadel,Dreadful Visage,Contrast,Purple,,Active,Contrast Paint Name,F,22,
citadel_contrast_flesh_tearers_red,Citadel,Flesh Tearers Red,Contrast,Red,,Active,Contrast Paint Name,F,23,
citadel_contrast_frostheart,Citadel,Frostheart,Contrast,Blue,,Active,Contrast Paint Name,F,24,
citadel_contrast_fyreslayer_flesh,Citadel,Fyreslayer Flesh,Contrast,Brown,,Active,Contrast Paint Name,F,25,
citadel_contrast_garaghak_s_sewer,Citadel,Garaghak's Sewer,Contrast,Brown,,Active,Contrast Paint Name,F,26,
citadel_contrast_gore_grunta_fur,Citadel,Gore-Grunta Fur,Contrast,Brown,,Active,Contrast Paint Name,F,27,
citadel_contrast_gryph_charger_grey,Citadel,Gryph-Charger Grey,Contrast,Black and Grey,,Active,Contrast Paint Name,F,28,
citadel_contrast_gryph_hound_orange,Citadel,Gryph-Hound Orange,Contrast,Orange,,Active,Contrast Paint Name,F,29,
citadel_contrast_guilliman_flesh,Citadel,Guilliman Flesh,Contrast,Brown,,Active,Contrast Paint Name,F,30,
citadel_contrast_gutrippa_flesh,Citadel,Gutrippa Flesh,Contrast,Brown,,Active,Contrast Paint Name,F,31,
citadel_contrast_imperial_fist,Citadel,Imperial Fist,Contrast,Yellow,,Active,Contrast Paint Name,F,32,
citadel_contrast_ironjawz_yellow,Citadel,Ironjawz Yellow,Contrast,Yellow,,Active,Contrast Paint Name,G,3,
citadel_contrast_iyanden_yellow,Citadel,Iyanden Yellow,Contrast,Yellow,,Active,Contrast Paint Name,G,4,
citadel_contrast_karandras_green,Citadel,Karandras Green,Contrast,Green,,Active,Contrast Paint Name,G,5,
citadel_contrast_kroxigor_scales,Citadel,Kroxigor Scales,Contrast,Blue-Green,,Active,Contrast Paint Name,G,6,
citadel_contrast_leviadon_blue,Citadel,Leviadon Blue,Contrast,Blue,,Active,Contrast Paint Name,G,7,
citadel_contrast_leviathan_purple,Citadel,Leviathan Purple,Contrast,Purple,,Active,Contrast Paint Name,G,8,
citadel_contrast_luxion_purple,Citadel,Luxion Purple,Contrast,Purple,,Active,Contrast Paint Name,G,9,
citadel_contrast_magmadroth_flame,Citadel,Magmadroth Flame,Contrast,Orange,,Active,Contrast Paint Name,G,10,
citadel_contrast_magos_purple,Citadel,Magos Purple,Contrast,Purple,,Active,Contrast Paint Name,G,11,
citadel_contrast_mantis_warriors_green,Citadel,Mantis Warriors Green,Contrast,Green,,Active,Contrast Paint Name,G,12,
citadel_contrast_militarum_green,Citadel,Militarum Green,Contrast,Green,,Active,Contrast Paint Name,G,13,
citadel_contrast_nazdreg_yellow,Citadel,Nazdreg Yellow,Contrast,Yellow,,Active,Contrast Paint Name,G,14,
citadel_contrast_nighthaunt_gloom,Citadel,Nighthaunt Gloom,Contrast,Blue,#798D96,Active,Contrast Paint Name,G,15,
citadel_contrast_ork_flesh,Citadel,Ork Flesh,Contrast,Brown,,Active,Contrast Paint Name,G,16,
citadel_contrast_plaguebearer_flesh,Citadel,Plaguebearer Flesh,Contrast,Brown,,Active,Contrast Paint Name,G,17,
citadel_contrast_pylar_glacier,Citadel,Pylar Glacier,Contrast,Blue,,Active,Contrast Paint Name,G,18,
citadel_contrast_ratling_grime,Citadel,Ratling Grime,Contrast,Brown,,Active,Contrast Paint Name,G,19,
citadel_contrast_shyish_purple,Citadel,Shyish Purple,Contrast,Purple,,Active,Contrast Paint Name,G,20,
