Source_Company,Source_Product_Line,Source_Paint_Name,Source_Paint_ID,Equivalent_Company,Equivalent_Product_Line,Equivalent_Paint_Name,Equivalent_Paint_ID,Match_Type,Similarity_Percent,Confidence,Source,Notes,Hex
Games Workshop,Citadel,Citadel,,Vallejo,Game Color,Skull White,,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Citadel,,Vallejo,Model Color,Dead White,001,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Citadel,,Rackham,,White,951,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Citadel,,Reaper,Master Series,Eternal White,1,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Citadel,,Coat D'arms,,Pure White,9039,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Smelly Primer*,,Vallejo,Game Color,White Primer,002,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Smelly Primer*,,Vallejo,Model Color,Foundation White,919,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Smelly Primer*,,Rackham,,Brush-on Primer,9108,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Smelly Primer*,,Reaper,Master Series,Grey Primer,141,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFFFFF
Games Workshop,Citadel,Pallid Flesh*,,Vallejo,Game Color,Pale Flesh,003,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EEC8C7
Games Workshop,Citadel,Pallid Flesh*,,Vallejo,Model Color,Light Flesh,928,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EEC8C7
Games Workshop,Citadel,Pallid Flesh*,,Rackham,,Pearly Flesh,31,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EEC8C7
Games Workshop,Citadel,Pallid Flesh*,,Reaper,Master Series,Rosy Highlight,9069,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EEC8C7
Games Workshop,Citadel,Pallid Flesh*,,Coat D'arms,,Flesh,213,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,EEC8C7
Games Workshop,Citadel,Elf Flesh,,Vallejo,Game Color,Elf Skintone,004,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,F7BD7B
Games Workshop,Citadel,Elf Flesh,,Vallejo,Model Color,Flat Flesh,955,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,F7BD7B
Games Workshop,Citadel,Elf Flesh,,Rackham,,Craggy Skin,30,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,F7BD7B
Games Workshop,Citadel,Elf Flesh,,Reaper,Master Series,Rosy Highlight **,9069,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,F7BD7B
Games Workshop,Citadel,Elf Flesh,,Coat D'arms,,Elven Flesh,123,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,F7BD7B
Games Workshop,Citadel,Bad Moon Yellow*,,Vallejo,Game Color,Bald Moon Yellow,005,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFF700
Games Workshop,Citadel,Bad Moon Yellow*,,Vallejo,Model Color,Lemon Yellow,952,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFF700
Games Workshop,Citadel,Bad Moon Yellow*,,Rackham,,Clear Yellow,9095,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFF700
Games Workshop,Citadel,Bad Moon Yellow*,,Reaper,Master Series,Dusky Yellow,146,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFF700
Games Workshop,Citadel,Sunburst Yellow,,Vallejo,Game Color,Sunblast Yellow,006,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFE700
Games Workshop,Citadel,Sunburst Yellow,,Vallejo,Model Color,Deep Yellow,915,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFE700
Games Workshop,Citadel,Sunburst Yellow,,Rackham,,Lahn Yellow,40,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFE700
Games Workshop,Citadel,Sunburst Yellow,,Reaper,Master Series,Sun Yellow,9008,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFE700
Games Workshop,Citadel,Sunburst Yellow,,Coat D'arms,,Sun Yellow,103,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFE700
Games Workshop,Citadel,Golden Yellow,,Vallejo,Game Color,Gold Yellow,007,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFCE00
Games Workshop,Citadel,Golden Yellow,,Vallejo,Model Color,Golden Yellow,948,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFCE00
Games Workshop,Citadel,Golden Yellow,,Rackham,,Royal Yellow,39,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFCE00
Games Workshop,Citadel,Golden Yellow,,Reaper,Master Series,Marigold Yellow,9007,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFCE00
Games Workshop,Citadel,Golden Yellow,,Coat D'arms,,Golden Yellow,159,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FFCE00
Games Workshop,Citadel,Desert Yellow,,Vallejo,Game Color,Desert Yellow,063,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,9C8855
Games Workshop,Citadel,Desert Yellow,,Vallejo,Model Color,Faded Khaki,9129,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,9C8855
Games Workshop,Citadel,Fiery Orange *,,Vallejo,Game Color,Orange Fire,008,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF7B00
Games Workshop,Citadel,Fiery Orange *,,Vallejo,Model Color,Light Orange,911,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF7B00
Games Workshop,Citadel,Fiery Orange *,,Rackham,,Merin's Fire,38,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF7B00
Games Workshop,Citadel,Fiery Orange *,,Reaper,Master Series,Fire Orange,9006,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF7B00
Games Workshop,Citadel,Fiery Orange *,,Coat D'arms,,Flame Orange,105,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF7B00
Games Workshop,Citadel,Blazing Orange,,Vallejo,Game Color,Hot Orange,009,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF3108
Games Workshop,Citadel,Blazing Orange,,Vallejo,Model Color,Scarlet,817,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF3108
Games Workshop,Citadel,Blazing Orange,,Rackham,,Fusion Red,37,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF3108
Games Workshop,Citadel,Blazing Orange,,Reaper,Master Series,Phoenix Red,9005,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF3108
Games Workshop,Citadel,Blazing Orange,,Coat D'arms,,Burnt Orange,147,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,FF3108
Games Workshop,Citadel,Blood Red,,Vallejo,Game Color,Bloody Red,010,Dakka Chart Equivalency,,Medium,258583605-Dakka-Dakka.txt,Parsed from Dakka paint compatibility chart; hex is approximate.,CE0018
