Air_Paint,Main_Paint
Zombie Flesh,Grotesque Green
Necrotic Flesh,Necrotic Flesh
Gremlin Green,Camouflage Green
Army Green,Army Green
Militia Green,Woodland Camo
Leviathan Light,Mossy Green
Undergrowth Green,Emerald Frost
Jungle Green,Rainforest
Canopy Green,Lime Green
Feral Green,Ferocious Green
Goblin Green,Eternal Hunt
Green Skin,Green Skin
Savage Green,Guardian Green
Angel Green,Angel Green
Runic Spell,Temple Gate Teal
Wizard's Orb,Feral Guard
Elemental Bolt,Talisman Teal
Hazardous Smog,Amulet Aqua
Toxic Mist,Marine Mist
Phantasmal Blue,Aquamarine
Hydra Turquoise,Hydra Turquoise
Ocean Depths,Deep Azure
Thunderstorm,Deep Ocean Blue
Twilight Sky,Abyssal Blue
Ionic Blue,Arctic Gem
Crystal Blue,Crystal Blue
Sapphire Gem,Royal Blue
Dark Sky,Triumphant Navy
Ultramarine Blue,Ultramarine Blue
Consul Blue,Barren Blue
Storm Wolf,Augur Blue
Matt White,Matt White
Company Grey,Company Grey
Uniform Grey,Uniform Grey
Matt Black,Matt Black
Kobold Skin,Urban Buff
Gnome Cheeks,Command Khaki
Leather Brown,Leather Brown
Mongolia Brown,Brigandine Brown
Yellow Dune,Wasteland Clay
Desert Yellow,Desert Yellow
Baron Yellow,Prairie Ochre
Skeleton Bone,Skeleton Bone
Bleached Bone,Bony Spikes
Hobgoblin Hue,Pale Sand
Cosmic Dust,Ice Yellow
Moon Dust,Space Dust
Meteor Rock,Warped Yellow
Demonic Yellow,Demonic Yellow
Molten Orange,Molten Lava
Archangel Red,Burning Ore
Lava Orange,Lava Orange
Orange Magma,Flickering Flame
Incursion Orange,Glowing Inferno
Nomad Flesh,Violent Vermilion
Oak Brown,Oak Brown
Cypress Brown,Dryad Brown
Fur Brown,Fur Brown
Viper Brown,Ruddy Umber
Wyrmling Red,Raging Rose
Pure Red,Pure Red
Dragon Red,Dragon Red
Rebel Red,Wyvern Fury
Chimera Red,Basilisk Red
Warlock Purple,Wicked Pink
Pixie Pink,Pixie Pink
Fey Pink,Weird Elixir
Gallium Purple,Alien Purple
Broodmother Purple,Terrestrial Titan
Witchbane Plum,Spellbound Fuchsia
Coven Purple,Figgy Pink
Fairy Pink,Elder Flower
Barbarian Flesh,Barbarian Flesh
Chaotic Red,Carnelian Skin
Husk Brown,Tiger Eye Skin
Charred Bone,Amber Skin
Rough Iron,Rough Iron
Evil Chrome,Evil Chrome
True Copper,True Copper
Gemstone,Gemstone Red
Bright Gold,Bright Gold
Greedy Gold,Greedy Gold
Tainted Gold,Tainted Gold
Glitter Green,Glittering Green
Gunmetal,Gunmetal
Plate Mail Metal,Plate Mail Metal
