paint_id,brand,paint_name,paint_type,color_family,triad_family,hex,status,source_group,source_column,source_row,notes
citadel_base_abaddon_black,Citadel,Abaddon Black,Base,Black and Grey,Black & Greys,#231F20,Active,Base Paints Name,A,3,Army Painter triad via conversion match: Matt Black
citadel_base_averland_sunset,Citadel,Averland Sunset,Base,Yellow,Yellows,#FCB825,Active,Base Paints Name,A,4,Army Painter triad via conversion match: Fiendish Yellow
citadel_base_balthasar_gold,Citadel,Balthasar Gold,Base,Gold,Metals - Brass,#87542F,Active,Base Paints Name,A,5,Army Painter triad via conversion match: True Copper
citadel_base_barak_nar_burgundy,Citadel,Barak-Nar Burgundy,Base,Red,Desaturated Violets,,Active,Base Paints Name,A,6,Army Painter triad via conversion match: Moldy Wine
citadel_base_bugman_s_glow,Citadel,Bugman's Glow,Base,Brown,Ruddy Browns,#845045,Active,Base Paints Name,A,7,Army Painter triad via conversion match: Ruddy Umber
citadel_base_caledor_sky,Citadel,Caledor Sky,Base,Blue,Vivid Blues,#396F9E,Active,Base Paints Name,A,8,Army Painter triad via conversion match: Regal Blue
citadel_base_caliban_green,Citadel,Caliban Green,Base,Green,Deep Greens,#00401E,Active,Base Paints Name,A,9,Army Painter triad via conversion match: Angel Green
citadel_base_castellan_green,Citadel,Castellan Green,Base,Green,Deep Greens,#304921,Active,Base Paints Name,A,10,Army Painter triad via conversion match: Guardian Green
citadel_base_catachan_flesh,Citadel,Catachan Flesh,Base,Brown,Deep Skin Tones,,Active,Base Paints Name,A,11,
citadel_base_celestra_grey,Citadel,Celestra Grey,Base,Black and Grey,Black & Greys,#90A8A8,Active,Base Paints Name,A,12,
citadel_base_corax_white,Citadel,Corax White,Base,White,Black & Greys,#FFFFFF,Active,Base Paints Name,A,13,Army Painter triad via conversion match: Brigade Grey
citadel_base_corvus_black,Citadel,Corvus Black,Base,Black and Grey,,,Active,Base Paints Name,A,14,
citadel_base_daemonette_hide,Citadel,Daemonette Hide,Base,Purple,Purples,#696685,Active,Base Paints Name,A,15,Army Painter triad via conversion match: Hexed Violet
citadel_base_death_guard_green,Citadel,Death Guard Green,Base,Green,Olive Greens,#9C9171,Active,Base Paints Name,A,16,Army Painter triad via conversion match: Camouflage Green
citadel_base_death_korps_drab,Citadel,Death Korps Drab,Base,Green,Olive Greens,,Active,Base Paints Name,A,17,
citadel_base_deathworld_forest,Citadel,Deathworld Forest,Base,Brown,Olive Greens,#5D6732,Active,Base Paints Name,A,18,Army Painter triad via conversion match: Woodland Camo
citadel_base_dryad_bark,Citadel,Dryad Bark,Base,Brown,Deep Skin Tones,#34312C,Active,Base Paints Name,A,19,Army Painter triad via conversion match: Obsidian Skin
citadel_base_gal_vorbak_red,Citadel,Gal Vorbak Red,Base,Red,Desaturated Violets,,Active,Base Paints Name,A,20,Army Painter triad via conversion match: Mulled Berry
citadel_base_grey_knights_steel,Citadel,Grey Knights Steel,Base,Black and Grey,Metals - Silver,,Active,Base Paints Name,A,21,Army Painter triad via conversion match: Cobalt Metal
citadel_base_grey_seer,Citadel,Grey Seer,Base,Black and Grey,Black & Greys,,Active,Base Paints Name,A,22,Army Painter triad via conversion match: Company Grey
citadel_base_hobgrot_hide,Citadel,Hobgrot Hide,Base,Brown,Ochres & Tans,,Active,Base Paints Name,A,23,Army Painter triad via conversion match: Desert Yellow
citadel_base_incubi_darkness,Citadel,Incubi Darkness,Base,Blue-Green,Teals,#0B4849,Active,Base Paints Name,A,24,Army Painter triad via conversion match: Scarab Green
citadel_base_ionrach_skin,Citadel,Ionrach Skin,Base,Green,Desaturated Cool Greens,,Active,Base Paints Name,A,25,
citadel_base_iron_hands_steel,Citadel,Iron Hands Steel,Base,Silver,Metals - Silver,,Active,Base Paints Name,A,26,Army Painter triad via conversion match: Death Metal
citadel_base_iron_warriors,Citadel,Iron Warriors,Base,Silver,Metals - Silver,,Active,Base Paints Name,A,27,
citadel_base_jokaero_orange,Citadel,Jokaero Orange,Base,Red,Warm Reds,#EE3823,Active,Base Paints Name,A,28,
citadel_base_kantor_blue,Citadel,Kantor Blue,Base,Blue,Strong Pale Blues,#002051,Active,Base Paints Name,A,29,Army Painter triad via conversion match: Triumphant Navy
citadel_base_khorne_red,Citadel,Khorne Red,Base,Red,Warm Reds,#6A0002,Active,Base Paints Name,A,30,Army Painter triad via conversion match: Resplendent Red
citadel_base_leadbelcher,Citadel,Leadbelcher,Base,Silver,Metals - Silver,#475659,Active,Base Paints Name,A,31,Army Painter triad via conversion match: Gun Metal
citadel_base_lupercal_green,Citadel,Lupercal Green,Base,Green,,,Active,Base Paints Name,B,3,
citadel_base_macragge_blue,Citadel,Macragge Blue,Base,Blue,Desaturated Blue-Greys,#0D407F,Active,Base Paints Name,B,4,Army Painter triad via conversion match: Stratos Blue
citadel_base_mechanicus_std_grey,Citadel,Mechanicus Std Grey,Base,Black and Grey,,,Active,Base Paints Name,B,5,
citadel_base_mephiston_red,Citadel,Mephiston Red,Base,Red,Cool Reds,#991115,Active,Base Paints Name,B,6,Army Painter triad via conversion match: Dragon Red
citadel_base_morghast_bone,Citadel,Morghast Bone,Base,Brown,,,Active,Base Paints Name,B,8,
citadel_base_mournfang_brown,Citadel,Mournfang Brown,Base,Brown,Browns,#650A09,Active,Base Paints Name,B,10,Army Painter triad via conversion match: Leather Brown
citadel_base_naggaroth_night,Citadel,Naggaroth Night,Base,Purple,Purples,#3E3355,Active,Base Paints Name,B,7,Army Painter triad via conversion match: Terrestrial Titan
citadel_base_night_lords_blue,Citadel,Night Lords Blue,Base,Blue,Vivid Blues,,Active,Base Paints Name,B,9,Army Painter triad via conversion match: Imperial Navy
citadel_base_nocturne_green,Citadel,Nocturne Green,Base,Green,,,Active,Base Paints Name,B,11,
citadel_base_orruk_flesh,Citadel,Orruk Flesh,Base,Brown,,,Active,Base Paints Name,B,12,
