Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,AK_Source_Name,AK_Source_Line,AK_Source_URL,Nearest_GW_Product_Line,Nearest_GW_Paint_Name,Nearest_GW_Hex,GW_RGB_Distance
AK_3GEN_AFRO_SHADOW,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,,Afro Shadow,AFRO SHADOW,#4B0082,75,0,130,75:0:130,Acrylic/Metallic comparison color,Active/Unknown,883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Extracted from 7-in-1 comparison tool; use as reference, not canonical. Hex/RGB manually fixed from user-updated Missing_Color_Audit.",,Afro Shadow,Manual Color Fix,,,,,
AK_3GEN_ALGA_GREEN,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11152,Alga Green,ALGA GREEN,#565F22,86,95,34,86:95:34,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Alga Green,3rd Gen General,https://ak-interactive.com/product/alga-green-standard/,Base,Deathworld Forest,#5D6732,19.21
AK_3GEN_ALUMINIUM,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11207,Aluminium,ALUMINIUM,#AEAEAE,174,174,174,174:174:174,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Aluminium,3rd Gen General,https://ak-interactive.com/product/aluminium-metallic-2/,Dry,Longbeard Grey,#B4AEAE,6
AK_3GEN_AMARANTH_RED,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11086,Amaranth Red,AMARANTH RED,#D04F28,208,79,40,208:79:40,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Amaranth Red,3rd Gen General,https://ak-interactive.com/product/amaranth-red-standard/,Dry,Ryza Rust,#CE6426,21.19
AK_3GEN_AMETHYST_BLUE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11183,Amethyst Blue,AMETHYST BLUE,#322B47,50,43,71,50:43:71,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Amethyst Blue,3rd Gen General,https://ak-interactive.com/product/amethyst-blue-standard/,Base,Naggaroth Night,#3E3355,20.1
AK_3GEN_ANODIZED_VIOLET,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11202,Anodized Violet,ANODIZED VIOLET,#9A8494,154,132,148,154:132:148,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Anodized Violet,3rd Gen General,https://ak-interactive.com/product/anodized-violet-metallic/,Layer,Slaanesh Grey,#8E8C97,14.73
AK_3GEN_ANTHRACITE_GREY,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11167,Anthracite Grey,ANTHRACITE GREY,#1D2A2C,29,42,44,29:42:44,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Anthracite Grey,3rd Gen General,https://ak-interactive.com/product/anthracite-grey-standard/,Base,Abaddon Black,#231F20,17.35
AK_3GEN_AQUATIC_TURQUOISE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11170,Aquatic Turquoise,AQUATIC TURQUOISE,#006558,0,101,88,0:101:88,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Aquatic Turquoise,3rd Gen General,https://ak-interactive.com/product/aquatic-turquoise-standard/,New/Current or Comparison,Sotek Green,#006B5A,6.32
AK_3GEN_ASH_GREY,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11024,Ash Grey,ASH GREY,#42433A,66,67,58,66:67:58,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Ash Grey,3rd Gen General,https://ak-interactive.com/product/ash-grey-standard/,Layer,Skavenblight Dinge,#48413B,6.4
AK_3GEN_ASTRAL_BERYLLIUM,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11200,Astral Beryllium,ASTRAL BERYLLIUM,#7D9F8F,125,159,143,125:159:143,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Astral Beryllium,3rd Gen General,https://ak-interactive.com/product/astral-beryllium-metallic/,Contrast,Nighthaunt Gloom,#798D96,19.72
AK_3GEN_BASALT_GREY,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11021,Basalt Grey,BASALT GREY,#5E625E,94,98,94,94:98:94,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Basalt Grey,3rd Gen General,https://ak-interactive.com/product/basalt-grey-standard/,Base,Warplock Bronze,#695154,22.58
AK_3GEN_BASIC_SKIN_TONE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11052,Basic Skin Tone,BASIC SKIN TONE,#F8B57C,248,181,124,248:181:124,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Basic Skin Tone,3rd Gen General,https://ak-interactive.com/product/basic-skin-tone-standard/,New/Current or Comparison,Kislev Flesh,#F7BD7B,8.12
AK_3GEN_BEAST_BROWN,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,,Beast Brown,BEAST BROWN,#8B4513,139,69,19,139:69:19,Acrylic/Metallic comparison color,Active/Unknown,883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Extracted from 7-in-1 comparison tool; use as reference, not canonical. Hex/RGB manually fixed from user-updated Missing_Color_Audit.",,Beast Brown,Manual Color Fix,,,,,
AK_3GEN_BEIGE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11030,Beige,BEIGE,#E1B949,225,185,73,225:185:73,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Beige,3rd Gen General,https://ak-interactive.com/product/beige-standard/,New/Current or Comparison,Auric Armour Gold,#E7BD42,10.05
AK_3GEN_BEIGE_RED,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11064,Beige Red,BEIGE RED,#DE935A,222,147,90,222:147:90,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Beige Red,3rd Gen General,https://ak-interactive.com/product/beige-red-standard/,Layer,Gehenna's Gold,#D49761,12.85
AK_3GEN_BLACK,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11029,Black,BLACK,#12120C,18,18,12,18:18:12,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Black,3rd Gen General,https://ak-interactive.com/product/black-intense/,Shade,Nuln Oil,#151203,9.49
AK_3GEN_BLACK_GREEN,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11160,Black Green,BLACK GREEN,#182116,24,33,22,24:33:22,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Black Green,3rd Gen General,https://ak-interactive.com/product/black-green-standard/,Base,Abaddon Black,#231F20,15
