Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,GW_Match_Paint_ID,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,Comparison_Page,Match_Distance,Match_Confidence,Match_Method,AK_Match_Code,AK_Match_Name,Vallejo_Model_Match_Code,Vallejo_Model_Match_Name,Vallejo_Game_Match_Code,Vallejo_Game_Match_Name,Match_Source,Review_Flag,Review_Notes,Normalized_Paint_Type_Helper,Speedpaint_Match_Count,Speedpaint_Resolved_Count,Speedpaint_Hex_Fill_Source,Top_Match_Company,Top_Match_Brand,Top_Match_Product_Line,Top_Match_Paint_Type,Top_Match_Paint_ID,Top_Match_Name,Top_Match_Hex,Top_Match_RGB,Top_Match_Similarity,AP_Internal_Match_Paint_ID,AP_Internal_Match_Name,AP_Internal_Match_Product_Line,AP_Internal_Match_Hex,AP_Internal_Match_RGB,AP_Internal_Match_Similarity,Pro_Acryl_Match_Paint_ID,Pro_Acryl_Match_Name,Pro_Acryl_Match_Hex,Pro_Acryl_Match_RGB,Pro_Acryl_Match_Similarity,Speedpaint_Data_Source,AK_Match_Paint_ID,AK_Match_Hex,AK_Match_RGB,AK_Match_Similarity,Vallejo_Model_Match_Paint_ID,Vallejo_Model_Match_Hex,Vallejo_Model_Match_RGB,Vallejo_Model_Match_Similarity,Vallejo_Game_Match_Paint_ID,Vallejo_Game_Match_Hex,Vallejo_Game_Match_RGB,Vallejo_Game_Match_Similarity
AP_SPEEDPAINT_ABSOLUTION_GREEN,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Absolution Green,ABSOLUTION_GREEN,#00401F,0,64,31,"0,64,31",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#00401F,GW_BASE_CALIBAN_GREEN,Caliban Green,Base,Base,#00401F,"0, 64, 31",ArmyCrafter Speedpaint similarity pages (copied to DOCX),0,Medium,95.6% similarity,AK-11146,Dark Green,,,,,ArmyCrafter Speedpaint Similarity,,,Speedpaint,3,3,Inferred from Citadel Base Caliban Green (95.6% similar),Games Workshop,Citadel,Base,Base,GW_BASE_CALIBAN_GREEN,Caliban Green,#00401F,"0, 64, 31",95.6,,,,,,,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),AK_3GEN_DARK_GREEN,#23461E,35:70:30,95.4,,,,,,,,
AP_SPEEDPAINT_AGED_HIDE,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Aged Hide,AGED_HIDE,#EB5F4D,235,95,77,"235,95,77",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#EB5F4D,,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),,Medium,,,,71.082,Red Fluorescent,,,,,,Speedpaint,4,4,Inferred from Vallejo Model Air Red Fluorescent (96.0% similar),Vallejo,Model Air,Model Air,Acrylic Paint,VAL_MODEL_AIR_RED_FLUORESCENT,Red Fluorescent,#EB5F4D,"235,95,77",96,AP_FANATIC_SACRED_SCARLET,Sacred Scarlet,Fanatic,,,96.4,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),,,,,VAL_MODEL_AIR_RED_FLUORESCENT,#EB5F4D,"235,95,77",96,,,,
AP_SPEEDPAINT_ALGAE_GREEN,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Algae Green,ALGAE_GREEN,#9DA94B,157,169,75,"157,169,75",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#9DA94B,GW_LAYER_OGRYN_CAMO,Ogryn Camo,Layer,Layer,#9DA94B,"157, 169, 75",ArmyCrafter Speedpaint similarity pages (copied to DOCX),0,High,97.3% similarity,,,,,,,ArmyCrafter Speedpaint Similarity,,,Speedpaint,2,2,Inferred from Citadel Layer Ogryn Camo (97.3% similar),Games Workshop,Citadel,Layer,Layer,GW_LAYER_OGRYN_CAMO,Ogryn Camo,#9DA94B,"157, 169, 75",97.3,,,,,,,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),,,,,,,,,,,,
AP_SPEEDPAINT_ANCIENT_HONEY,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Ancient Honey,ANCIENT_HONEY,#E9BD39,233,189,57,"233,189,57",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#E9BD39,GW_CONTRAST_BAD_MOON_YELLOW,Bad Moon Yellow,Contrast,Contrast,#F4D000,"244, 208, 0",ArmyCrafter Speedpaint similarity pages (copied to DOCX),61.08,High,97.6% similarity,AK-11035,Sand Yellow,70.915,Deep Yellow,72.005,Moon Yellow,ArmyCrafter Speedpaint Similarity,,,Speedpaint,12,11,Inferred from AK Interactive 3rd Gen Acrylic Sand Yellow (97.8% similar),AK Interactive,AK 3rd Gen,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_SAND_YELLOW,Sand Yellow,#E9BD39,233:189:57,97.8,AP_FANATIC_DAEMONIC_YELLOW,Daemonic Yellow,Fanatic,#FADA06,"250,218,6",97.2,PA_PRO_ACRYL_WARM_YELLOW,Warm Yellow,#FCB825,"252,184,37",96.5,ArmyCrafter Speedpaint similarity pages (copied to DOCX),AK_3GEN_SAND_YELLOW,#E9BD39,233:189:57,97.8,VAL_MODEL_COLOR_DEEP_YELLOW,#FFE30C,"255,227,12",96.6,VAL_GAME_COLOR_MOON_YELLOW,#FFF103,"255,241,3",96.9
AP_SPEEDPAINT_ASHEN_STONE,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Ashen Stone,ASHEN_STONE,#B3BEBF,179,190,191,"179,190,191",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#B3BEBF,,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),,High,,AK-11162,Spectrum Blue,70.961,Sky Blue,72.047,Wolf Grey,,,,Speedpaint,11,6,Inferred from AK Interactive 3rd Gen Acrylic Spectrum Blue (98.2% similar),AK Interactive,AK 3rd Gen,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_SPECTRUM_BLUE,Spectrum Blue,#B3BEBF,179:190:191,98.2,AP_SPEEDPAINT_BATTLESHIP_GREY,Battleship Grey,Speedpaint,,,95.6,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),AK_3GEN_SPECTRUM_BLUE,#B3BEBF,179:190:191,98.2,VAL_MODEL_COLOR_SKY_BLUE,#86D6F7,"134,214,247",96.4,VAL_GAME_COLOR_WOLF_GREY,#5B8093,"91,128,147",95.6
AP_SPEEDPAINT_AZTEC_GOLD,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Aztec Gold,AZTEC_GOLD,,,,,,Speedpaint Metallic,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,,,,,,,,A3_Speedpaint_Practical_Naming_Chart.pdf,,,,,,,,,,,,,Speedpaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_SPEEDPAINT_BATTLESHIP_GREY,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Battleship Grey,BATTLESHIP_GREY,#5B8093,91,128,147,"91,128,147",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#5B8093,,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),,High,,,,70.961,Sky Blue,72.047,Wolf Grey,,,,Speedpaint,7,4,Inferred from Vallejo Game Color Wolf Grey (97.8% similar),Vallejo,Game Color,Game Color,Acrylic Paint,VAL_GAME_COLOR_WOLF_GREY,Wolf Grey,#5B8093,"91,128,147",97.8,AP_SPEEDPAINT_ASHEN_STONE,Ashen Stone,Speedpaint,,,95.6,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),,,,,VAL_MODEL_COLOR_SKY_BLUE,#86D6F7,"134,214,247",96.5,VAL_GAME_COLOR_WOLF_GREY,#5B8093,"91,128,147",97.8
AP_SPEEDPAINT_BEOWULF_BLUE,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Beowulf Blue,BEOWULF_BLUE,#3F74E0,63,116,224,"63,116,224",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#3F74E0,GW_CONTRAST_CELESTIUM_BLUE,Celestium Blue,Contrast,Contrast,#3F74E0,"63, 116, 224",ArmyCrafter Speedpaint similarity pages (copied to DOCX),0,High,97.9% similarity,AK-11182,Deep Blue,,,72.412,Storm Blue,ArmyCrafter Speedpaint Similarity,,,Speedpaint,10,10,Inferred from Citadel Contrast Celestium Blue (97.9% similar),Games Workshop,Citadel,Contrast,Contrast,GW_CONTRAST_CELESTIUM_BLUE,Celestium Blue,#3F74E0,"63, 116, 224",97.9,AP_FANATIC_ULTRAMARINE_BLUE,Ultramarine Blue,Fanatic,#29397B,"41,57,123",97.7,PA_PRO_ACRYL_DARK_GREY_BLUE,Dark Grey Blue,#33A2CF,"51,162,207",95.4,ArmyCrafter Speedpaint similarity pages (copied to DOCX),AK_3GEN_DEEP_BLUE,#1D4167,29:65:103,95.1,,,,,VAL_XPRESS_COLOR_STORM_BLUE,#1E3F78,"30,63,120",95.7
AP_SPEEDPAINT_BLINDING_LIGHT,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Blinding Light,BLINDING_LIGHT,#FFFFFF,255,255,255,"255,255,255",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred Hex/RG...,#FFFFFF,GW_SPRAY_WHITE_SCAR,White Scar,Spray,Spray,#FFFFFF,"255, 255, 255",ArmyCrafter Speedpaint similarity pages (copied to DOCX),0,High,99.5% similarity,AK-11001,White,70.951,White,72.001,Dead White,ArmyCrafter Speedpaint Similarity,,,Speedpaint,18,16,Inferred from Vallejo Game Air Dead White (99.9% similar),Vallejo,Game Color,Game Color,Acrylic Paint,VAL_GAME_COLOR_DEAD_WHITE,Dead White,#FFFFFF,"255,255,255",99.9,AP_FANATIC_MATT_WHITE,Matt White,Fanatic,#FFFFFF,"255,255,255",99.5,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),AK_3GEN_WHITE,#FFFFFF,255:255:255,99.5,VAL_MODEL_COLOR_WHITE,#FFFFFF,"255,255,255",99.5,VAL_GAME_COLOR_DEAD_WHITE,#FFFFFF,"255,255,255",99.9
AP_SPEEDPAINT_BLOOD_RED,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,11089,Blood Red,BLOOD_RED,#CE0018,206,0,24,"206,0,24",Speedpaint,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,#CE0018,GW_BASE_JOKAERO_ORANGE,Jokaero Orange,Base,Base,#EE3823,"238, 56, 35",ArmyCrafter Speedpaint similarity pages (copied to DOCX),65.43,High,98.5% similarity,AK-11088,Deep Red,,,72.009,Hot Orange,ArmyCrafter Speedpaint Similarity,,,Speedpaint,8,4,,Games Workshop,Citadel,Base,Base,GW_BASE_JOKAERO_ORANGE,Jokaero Orange,#EE3823,"238, 56, 35",98.5,,,,,,,,,,,,ArmyCrafter Speedpaint similarity pages (copied to DOCX),AK_3GEN_DEEP_RED,#DC211B,220:33:27,95.6,,,,,VAL_GAME_COLOR_HOT_ORANGE,#E43027,"228,48,39",97.8
