Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes
AP_SPEEDPAINT_ABSOLUTION_GREEN,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Absolution Green,ABSOLUTION_GREEN,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_AGED_HIDE,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Aged Hide,AGED_HIDE,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_ALGAE_GREEN,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Algae Green,ALGAE_GREEN,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_ANCIENT_HONEY,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Ancient Honey,ANCIENT_HONEY,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_ASHEN_STONE,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Ashen Stone,ASHEN_STONE,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_AZTEC_GOLD,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Aztec Gold,AZTEC_GOLD,,,,,,Speedpaint Metallic,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_BATTLESHIP_GREY,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Battleship Grey,BATTLESHIP_GREY,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_BEOWULF_BLUE,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Beowulf Blue,BEOWULF_BLUE,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_BLINDING_LIGHT,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,,Blinding Light,BLINDING_LIGHT,,,,,,Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
AP_SPEEDPAINT_BLOOD_RED,Army Painter,Speedpaint,Speedpaint,SPEEDPAINT,11089,Blood Red,BLOOD_RED,#CE0018,206,0,24,"206,0,24",Speedpaint/one-coat,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred
