Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch
GW_BASE_ABADDON_BLACK,Games Workshop,Citadel,Base,BASE,,Abaddon Black,ABADDON_BLACK,#231F20,35,31,32,"35, 31, 32",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
GW_BASE_AVERLAND_SUNSET,Games Workshop,Citadel,Base,BASE,,Averland Sunset,AVERLAND_SUNSET,#FDB825,253,184,37,"253, 184, 37",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
GW_BASE_BALTHASAR_GOLD,Games Workshop,Citadel,Base,BASE,,Balthasar Gold,BALTHASAR_GOLD,#A47552,164,117,82,"164, 117, 82",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
GW_BASE_BARAK_NAR_BURGUNDY,Games Workshop,Citadel,Base,BASE,,Barak-Nar Burgundy,BARAK_NAR_BURGUNDY,#451636,69,22,54,"69, 22, 54",Base,Active,Comparison Hex Pull,Active item from Warhammer.com paint listing. Price: £2.75. | Dakka 2024 comparison chart direct Citadel hex,#451636
GW_BASE_BUGMAN_S_GLOW,Games Workshop,Citadel,Base,BASE,,Bugman's Glow,BUGMAN_S_GLOW,#834F44,131,79,68,"131, 79, 68",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
GW_BASE_CALEDOR_SKY,Games Workshop,Citadel,Base,BASE,,Caledor Sky,CALEDOR_SKY,#396E9E,57,110,158,"57, 110, 158",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
GW_BASE_CALIBAN_GREEN,Games Workshop,Citadel,Base,BASE,,Caliban Green,CALIBAN_GREEN,#00401F,0,64,31,"0, 64, 31",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
GW_BASE_CASTELLAN_GREEN,Games Workshop,Citadel,Base,BASE,,Castellan Green,CASTELLAN_GREEN,#314821,49,72,33,"49, 72, 33",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
GW_BASE_CATACHAN_FLESH,Games Workshop,Citadel,Base,BASE,,Catachan Flesh,CATACHAN_FLESH,#5D0009,93,0,9,"93, 0, 9",Base,Active,Comparison Hex Pull,Active item from Warhammer.com paint listing. Price: £2.75. | Comparison-derived: reddish brown flesh/brown range; using documented Doombull Brown close-range hex,#5D0009
GW_BASE_CELESTRA_GREY,Games Workshop,Citadel,Base,BASE,,Celestra Grey,CELESTRA_GREY,#90A8A8,144,168,168,"144, 168, 168",Base,Active,Warhammer.com paint inventory paste (331 items); Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Active item from Warhammer.com paint listing. Price: £2.75.,
