Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_ID,GW_Match_Hex,GW_Match_RGB,Comparison_Page,Match_Distance,Match_Confidence,GW_Match_Paint_ID,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,GW_RGB_Distance,Match_Confidence,GW_Match_Method
PA_PRO_ACRYL_BISMUTH_YELLOW,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Bismuth Yellow,BISMUTH YELLOW,#FCB825,252,184,37,"252,184,37",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Averland Sunset (Base), PDF p.4, confidence: Medium.",#FCB825,Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4,518.6,Medium,GW_BASE_AVERLAND_SUNSET,Averland Sunset,Base,Base,#FDB825,"253,184,37",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_PALE_YELLOW,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Pale Yellow,PALE YELLOW,#E3D28C,227,210,140,"227,210,140",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Dorn Yellow (Layer), PDF p.4, confidence: Low/manual audit.",#E3D28C,Dorn Yellow,Layer,GW_LAYER_DORN_YELLOW,#E3D28C,"227,210,140",4,1320.7,Low/manual audit,GW_LAYER_DORN_YELLOW,Dorn Yellow,Layer,Layer,#E3D28C,"227,210,140",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_BRIGHT_PALE_YELLOW,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Bright Pale Yellow,BRIGHT PALE YELLOW,#FCB825,252,184,37,"252,184,37",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Averland Sunset (Base), PDF p.4, confidence: Low/manual audit.",#FCB825,Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4,1879,Low/manual audit,GW_BASE_AVERLAND_SUNSET,Averland Sunset,Base,Base,#FDB825,"253,184,37",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_GOLDEN_YELLOW,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Golden Yellow,GOLDEN YELLOW,#FFF200,255,242,0,"255,242,0",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Flash Gitz Yellow (Layer), PDF p.4, confidence: High.",#FFF200,Flash Gitz Yellow,Layer,GW_LAYER_FLASH_GITZ_YELLOW,#FFF200,"255,242,0",4,330.5,High,GW_LAYER_FLASH_GITZ_YELLOW,Flash Gitz Yellow,Layer,Layer,#FFF200,"255,242,0",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_WARM_YELLOW,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Warm Yellow,WARM YELLOW,#FCB825,252,184,37,"252,184,37",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Averland Sunset (Base), PDF p.4, confidence: Low/manual audit.",#FCB825,Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4,1022.5,Low/manual audit,GW_BASE_AVERLAND_SUNSET,Averland Sunset,Base,Base,#FDB825,"253,184,37",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_BURNT_RED,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Burnt Red,BURNT RED,#C21920,194,25,32,"194,25,32",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Evil Sunz Scarlet (Layer), PDF p.6, confidence: Low/manual audit.",#C21920,Evil Sunz Scarlet,Layer,GW_LAYER_EVIL_SUNZ_SCARLET,#C21920,"194,25,32",6,1021.6,Low/manual audit,GW_LAYER_EVIL_SUNZ_SCARLET,Evil Sunz Scarlet,Layer,Layer,#C2191F,"194,25,31",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_CRIMSON,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Crimson,DARK CRIMSON,#6A0002,106,0,2,"106,0,2",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Khorne Red (Base), PDF p.6, confidence: Medium.",#6A0002,Khorne Red,Base,GW_BASE_KHORNE_RED,#6A0002,"106,0,2",6,518.6,Medium,GW_BASE_KHORNE_RED,Khorne Red,Base,Base,#6A0001,"106,0,1",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_BOLD_PYRROLE_RED,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Bold Pyrrole Red,BOLD PYRROLE RED,#C21920,194,25,32,"194,25,32",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Evil Sunz Scarlet (Layer), PDF p.6, confidence: Low/manual audit.",#C21920,Evil Sunz Scarlet,Layer,GW_LAYER_EVIL_SUNZ_SCARLET,#C21920,"194,25,32",6,774.5,Low/manual audit,GW_LAYER_EVIL_SUNZ_SCARLET,Evil Sunz Scarlet,Layer,Layer,#C2191F,"194,25,31",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_BURGUNDY,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Burgundy,BURGUNDY,#8C0A0C,140,10,12,"140,10,12",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Wazdakka Red (Layer), PDF p.7, confidence: Medium.",#8C0A0C,Wazdakka Red,Layer,GW_LAYER_WAZDAKKA_RED,#8C0A0C,"140,10,12",7,530.9,Medium,GW_LAYER_WAZDAKKA_RED,Wazdakka Red,Layer,Layer,#8C0A0C,"140,10,12",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
PA_PRO_ACRYL_DARK_BURGUNDY,Monument Hobbies,Pro Acryl,Pro Acryl,PRO_ACRYL,,Dark Burgundy,DARK BURGUNDY,#7C1645,124,22,69,"124,22,69",Acrylic/Metallic comparison color,Active/Unknown,GW_registry_v6_colorfilled(1).xlsx; 883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Approx Hex/RGB copied from GW registry using nearest GW swatch from Stahly 7-in-1 comparison PDF; not canonical Pro Acryl manufacturer color. GW match: Screamer Pink (Base), PDF p.7, confidence: Medium.",#7C1645,Screamer Pink,Base,GW_BASE_SCREAMER_PINK,#7C1645,"124,22,69",7,515.6,Medium,GW_BASE_SCREAMER_PINK,Screamer Pink,Base,Base,#7C1645,"124,22,69",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
