Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,,,,,,,,,GW_Match_Paint_ID,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,GW_RGB_Distance,Match_Confidence,GW_Match_Method
VAL_GAME_COLOR_PALE_GREY_SHADE_WASH,Vallejo,Game Color,Game Color,GAME_COLOR,73.202,**** Pale Grey Shade Wash,PALE_GREY_SHADE_WASH,#842994,132,41,148,"132,41,148",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_LEVIATHAN_PURPLE_WASH,Leviathan Purple Wash,Layer,Layer,#842994,"132,41,148",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_ABYSSAL_TURQUOISE,Vallejo,Game Color,Game Color,GAME_COLOR,72.120,Abyssal Turquoise,ABYSSAL_TURQUOISE,#122332,18,35,50,"18,35,50",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf; Catalogo_2026-R02.pdf page 52,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_BASE_NOCTURNE_GREEN,Nocturne Green,Base,Base,#152B29,"21,43,41",12.41,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_ALIEN_PURPLE,Vallejo,Game Color,Game Color,GAME_COLOR,72.076,Alien Purple,ALIEN_PURPLE,#50317B,80,49,123,"80,49,123",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,,,,,,,,,,GW_LAYER_IMPERIAL_PURPLE,Imperial Purple,Layer,Layer,#562F7E,"86,47,126",7,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_ANGEL_GREEN,Vallejo,Game Color,Game Color,GAME_COLOR,72.123,Angel Green,ANGEL_GREEN,#0C391D,12,57,29,"12,57,29",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,,,,,,,,,,GW_CONTRAST_DARK_ANGELS_GREEN,Dark Angels Green,Contrast,Contrast,#103B20,"16,59,32",5.39,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_AQUAMARINE,Vallejo,Game Color,Game Color,GAME_COLOR,72.119,Aquamarine,AQUAMARINE,#007B74,0,123,116,"0,123,116",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf; Catalogo_2026-R02.pdf page 52,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_CONTRAST_TERRADON_TURQUOISE,Terradon Turquoise,Contrast,Contrast,#007C74,"0,124,116",1,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_ATHENA_SKIN,Vallejo,Game Color,Game Color,GAME_COLOR,72.107,Athena Skin,ATHENA_SKIN,#B36254,179,98,84,"179,98,84",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf; Catalogo_2026-R02.pdf page 52,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_LAYER_DEATHCLAW_BROWN,Deathclaw Brown,Layer,Layer,#B36853,"179,104,83",6.08,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BALD_MOON_YELLOW,Vallejo,Game Color,Game Color,GAME_COLOR,72.005,Bald Moon Yellow,BALD_MOON_YELLOW,#FFF700,255,247,0,"255,247,0",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_BAD_MOON_YELLOW,Bad Moon Yellow,Layer,Layer,#FFF700,"255,247,0",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BARBARIAN_SKIN,Vallejo,Game Color,Game Color,GAME_COLOR,72.071,Barbarian Skin,BARBARIAN_SKIN,#77593F,119,89,63,"119,89,63",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf; Catalogo_2026-R02.pdf page 52,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_BASE_BUGMAN_S_GLOW,Bugman's Glow,Base,Base,#834F44,"131,79,68",16.4,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BEASTY_BROWN,Vallejo,Game Color,Game Color,GAME_COLOR,72.043,Beasty Brown,BEASTY_BROWN,#663300,102,51,0,"102,51,0",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_TEXTURE_STIRLAND_MUD,Stirland Mud,Texture,Texture,#492B00,"73,43,0",30.08,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BILE_GREEN,Vallejo,Game Color,Game Color,GAME_COLOR,72.122,Bile Green,BILE_GREEN,#D5D900,213,217,0,"213,217,0",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf; Catalogo_2026-R02.pdf page 52,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_CONTRAST_BAD_MOON_YELLOW,Bad Moon Yellow,Contrast,Contrast,#F4D000,"244,208,0",32.28,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BLACK,Vallejo,Game Color,Game Color,GAME_COLOR,72.051,Black,BLACK,#000000,0,0,0,"0,0,0",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Direct RedGrimm Vallejo Game name match (redgrimm vallejo-game.html); matched Vallejo Game Black.,,,,,,,,,,GW_AIR_ABADDON_BLACK,Abaddon Black,Air,Air,#000000,"0,0,0",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
