Air_Paint,Main_Paint,Status,Air_Paint_ID,Matched_Main_Paint_ID,Matched_Main_Product_Line,Inherited_Hex,Inherited_RGB
Zombie Flesh,Grotesque Green,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_ZOMBIE_FLESH,,,,
Necrotic Flesh,Necrotic Flesh,AIR_ALREADY_HAS_COLOR,AP_AIR_NECROTIC_FLESH,AP_FANATIC_NECROTIC_FLESH,Fanatic,#BFC292,"191,194,146"
Gremlin Green,Camouflage Green,FILLED,AP_AIR_GREMLIN_GREEN,AP_FANATIC_CAMOUFLAGE_GREEN,Fanatic,#A5A542,"165,165,66"
Army Green,Army Green,AIR_ALREADY_HAS_COLOR,AP_AIR_ARMY_GREEN,AP_FANATIC_ARMY_GREEN,Fanatic,#6E7645,"110,118,69"
Militia Green,Woodland Camo,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_MILITIA_GREEN,,,,
Leviathan Light,Mossy Green,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_LEVIATHAN_LIGHT,,,,
Undergrowth Green,Emerald Frost,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_UNDERGROWTH_GREEN,,,,
Jungle Green,Rainforest,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_JUNGLE_GREEN,,,,
Canopy Green,Lime Green,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_CANOPY_GREEN,,,,
Feral Green,Ferocious Green,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_FERAL_GREEN,,,,
Goblin Green,Eternal Hunt,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_GOBLIN_GREEN,,,,
Green Skin,Green Skin,AIR_NOT_FOUND,,,,,
Savage Green,Guardian Green,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_SAVAGE_GREEN,,,,
Angel Green,Angel Green,AIR_ALREADY_HAS_COLOR,AP_AIR_ANGEL_GREEN,AP_FANATIC_ANGEL_GREEN,Fanatic,#0C391D,"12,57,29"
Runic Spell,Temple Gate Teal,AIR_NOT_FOUND,,,,,
Wizard's Orb,Feral Guard,AIR_NOT_FOUND,,,,,
Elemental Bolt,Talisman Teal,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_ELEMENTAL_BOLT,,,,
Hazardous Smog,Amulet Aqua,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_HAZARDOUS_SMOG,,,,
Toxic Mist,Marine Mist,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_TOXIC_MIST,,,,
Phantasmal Blue,Aquamarine,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_PHANTASMAL_BLUE,,,,
Hydra Turquoise,Hydra Turquoise,AIR_ALREADY_HAS_COLOR,AP_AIR_HYDRA_TURQUOISE,AP_FANATIC_HYDRA_TURQUOISE,Fanatic,#199BA3,"25,155,163"
Ocean Depths,Deep Azure,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_OCEAN_DEPTHS,,,,
Thunderstorm,Deep Ocean Blue,AIR_NOT_FOUND,,,,,
Twilight Sky,Abyssal Blue,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_TWILIGHT_SKY,,,,
Ionic Blue,Arctic Gem,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_IONIC_BLUE,,,,
Crystal Blue,Crystal Blue,AIR_ALREADY_HAS_COLOR,AP_AIR_CRYSTAL_BLUE,AP_FANATIC_CRYSTAL_BLUE,Fanatic,#0083C2,"0,131,194"
Sapphire Gem,Royal Blue,FILLED,AP_AIR_SAPPHIRE_GEM,AP_FANATIC_ROYAL_BLUE,Fanatic,#41558D,"65,85,141"
Dark Sky,Triumphant Navy,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_DARK_SKY,,,,
Ultramarine Blue,Ultramarine Blue,AIR_ALREADY_HAS_COLOR,AP_AIR_ULTRAMARINE_BLUE,AP_FANATIC_ULTRAMARINE_BLUE,Fanatic,#29397B,"41,57,123"
Consul Blue,Barren Blue,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_CONSUL_BLUE,,,,
Storm Wolf,Augur Blue,MAIN_NOT_FOUND_OR_MISSING_COLOR,AP_AIR_STORM_WOLF,,,,
Matt White,Matt White,AIR_ALREADY_HAS_COLOR,AP_AIR_MATT_WHITE,AP_FANATIC_MATT_WHITE,Fanatic,#FFFFFF,"255,255,255"
Company Grey,Company Grey,AIR_NOT_FOUND,,,,,
Uniform Grey,Uniform Grey,AIR_ALREADY_HAS_COLOR,AP_AIR_UNIFORM_GREY,AP_FANATIC_UNIFORM_GREY,Fanatic,#5E6A73,"94,106,115"
Matt Black,Matt Black,AIR_ALREADY_HAS_COLOR,AP_AIR_MATT_BLACK,AP_FANATIC_MATT_BLACK,Fanatic,#231F20,"35,31,32"
