Paint_ID,Paint_Name,Product_Line,Paint_Type,Match_Source,Match_Company,Match_Paint_ID,Match_Paint_Name,Match_Product_Line,Match_Paint_Type,Match_Hex,Match_RGB,Confidence
AP_SPEEDPAINT_AZTEC_GOLD,Aztec Gold,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_BRAZEN_COPPER,Brazen Copper,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_BROADSWORD_SILVER,Broadsword Silver,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_CARIBBEAN_OCEAN,Caribbean Ocean,Speedpaint,Speedpaint,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_CARMINE_DRAGON,Carmine Dragon,Speedpaint,Speedpaint,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_ENCHANTED_STEEL,Enchanted Steel,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_FOREST_SPRITE,Forest Sprite,Speedpaint,Speedpaint,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_GLITTERING_LOOT,Glittering Loot,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_GOLDEN_ARMOUR,Golden Armour,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_HOARD_BRONZE,Hoard Bronze,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_HOPLITE_GOLD,Hoplite Gold,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_PASTEL_LAVENDER,Pastel Lavender,Speedpaint,Speedpaint,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_PLASMATIC_BOLT,Plasmatic Bolt,Speedpaint,Speedpaint,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_POLISHED_SILVER,Polished Silver,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_PURPLE_SWARM,Purple Swarm,Speedpaint,Speedpaint,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_SPEEDPAINT_MEDIUM,Speedpaint Medium,Speedpaint,Speedpaint,No Match Found,,,,,,,,Review
AP_SPEEDPAINT_TALOS_BRONZE,Talos Bronze,Speedpaint,Speedpaint Metallic,No Match Found,,,,,,,,Review
AP_AIR_AIRBRUSH_CLEANER,Airbrush Cleaner,Air,Auxiliary,No Match Found,,,,,,,,Review
AP_AIR_AIRBRUSH_MEDIUM,Airbrush Medium,Air,Auxiliary,No Match Found,,,,,,,,Review
AP_AIR_ARCHANGEL_RED,Archangel Red,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_AZURE_MAGIC,Azure Magic,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_BARREN_YELLOW,Barren Yellow,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_BLUE_FLUX,Blue Flux,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_BOGEY_GREEN,Bogey Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_BRETHIL_BLUSH,Brethil Blush,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_BROODMOTHER_PURPLE,Broodmother Purple,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_BULLWHACK_BROWN,Bullwhack Brown,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_CADRE_GREY,Cadre Grey,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_CANOPY_GREEN,Canopy Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_CHARRED_BONE,Charred Bone,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_CHIMERA_RED,Chimera Red,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_CONSUL_BLUE,Consul Blue,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_COSMIC_DUST,Cosmic Dust,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_COVEN_PURPLE,Coven Purple,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_CROW_HUE,Crow Hue,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_CYPRESS_BROWN,Cypress Brown,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_DRAB_GREEN,Drab Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_ELVEN_ARMOUR,Elven Armour,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_ENCARMINE_RED,Encarmine Red,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_EVIL_CHROME,Evil Chrome,Air,Air,Crossref_Audit,Games Workshop,GW_LAYER_SYCORAX_BRONZE,Sycorax Bronze,Layer,Layer,#CBB394,"203, 179, 148",High
AP_AIR_EXILE_GREEN,Exile Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_FAIRY_DUST,Fairy Dust,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_FAIRY_PINK,Fairy Pink,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_FERAL_GREEN,Feral Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_FEY_PINK,Fey Pink,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_FEYWILD_GLOW,Feywild Glow,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_GAUSS_GREEN,Gauss Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_GEMSTONE_RED,Gemstone Red,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_GLITTERING_GREEN,Glittering Green,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_GLOSS_VARNISH,Gloss Varnish,Air,Auxiliary,No Match Found,,,,,,,,Review
AP_AIR_GNOME_CHEEKS,Gnome Cheeks,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_GREEDY_GOLD,Greedy Gold,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_BASE_RETRIBUTOR_ARMOUR,Retributor Armour,Base,Base,#C39E81,"195, 158, 129",High
AP_AIR_GREEDY_GOLD,Greedy Gold,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_SPRAY_RETRIBUTOR_ARMOUR,Retributor Armour,Spray,Spray,#C39E81,"195, 158, 129",High
