Paint_ID,Pro_Acryl_Paint_Name,Filled_Hex,Filled_R,Filled_G,Filled_B,Filled_RGB,GW_Match_Name,GW_Product_Line,GW_Paint_ID,GW_Hex,GW_RGB,Comparison_Tool_Page,Match_Distance,Match_Confidence
PA_PRO_ACRYL_BISMUTH_YELLOW,Bismuth Yellow,#FCB825,252,184,37,"252,184,37",Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4,518.6,Medium
PA_PRO_ACRYL_PALE_YELLOW,Pale Yellow,#E3D28C,227,210,140,"227,210,140",Dorn Yellow,Layer,GW_LAYER_DORN_YELLOW,#E3D28C,"227,210,140",4,1320.7,Low/manual audit
PA_PRO_ACRYL_BRIGHT_PALE_YELLOW,Bright Pale Yellow,#FCB825,252,184,37,"252,184,37",Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4,1879,Low/manual audit
PA_PRO_ACRYL_GOLDEN_YELLOW,Golden Yellow,#FFF200,255,242,0,"255,242,0",Flash Gitz Yellow,Layer,GW_LAYER_FLASH_GITZ_YELLOW,#FFF200,"255,242,0",4,330.5,High
PA_PRO_ACRYL_WARM_YELLOW,Warm Yellow,#FCB825,252,184,37,"252,184,37",Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4,1022.5,Low/manual audit
PA_PRO_ACRYL_BURNT_RED,Burnt Red,#C21920,194,25,32,"194,25,32",Evil Sunz Scarlet,Layer,GW_LAYER_EVIL_SUNZ_SCARLET,#C21920,"194,25,32",6,1021.6,Low/manual audit
PA_PRO_ACRYL_DARK_CRIMSON,Dark Crimson,#6A0002,106,0,2,"106,0,2",Khorne Red,Base,GW_BASE_KHORNE_RED,#6A0002,"106,0,2",6,518.6,Medium
PA_PRO_ACRYL_BOLD_PYRROLE_RED,Bold Pyrrole Red,#C21920,194,25,32,"194,25,32",Evil Sunz Scarlet,Layer,GW_LAYER_EVIL_SUNZ_SCARLET,#C21920,"194,25,32",6,774.5,Low/manual audit
PA_PRO_ACRYL_BURGUNDY,Burgundy,#8C0A0C,140,10,12,"140,10,12",Wazdakka Red,Layer,GW_LAYER_WAZDAKKA_RED,#8C0A0C,"140,10,12",7,530.9,Medium
PA_PRO_ACRYL_DARK_BURGUNDY,Dark Burgundy,#7C1645,124,22,69,"124,22,69",Screamer Pink,Base,GW_BASE_SCREAMER_PINK,#7C1645,"124,22,69",7,515.6,Medium
PA_PRO_ACRYL_DARK_MAGENTA,Dark Magenta,#7C1645,124,22,69,"124,22,69",Screamer Pink,Base,GW_BASE_SCREAMER_PINK,#7C1645,"124,22,69",8,334.5,High
PA_PRO_ACRYL_PINK,Pink,#B94278,185,66,120,"185,66,120",Emperor‘s Children,Layer,GW_LAYER_EMPEROR_S_CHILDREN,#B94278,"185,66,120",8,381.1,High
PA_PRO_ACRYL_MAGENTA,Magenta,#B94278,185,66,120,"185,66,120",Emperor‘s Children,Layer,GW_LAYER_EMPEROR_S_CHILDREN,#B94278,"185,66,120",8,652.3,Medium
PA_PRO_ACRYL_DARK_PLUM,Dark Plum,#6A0002,106,0,2,"106,0,2",Khorne Red,Base,GW_BASE_KHORNE_RED,#6A0002,"106,0,2",7,1244.5,Low/manual audit
PA_PRO_ACRYL_PALE_PINK,Pale Pink,#B94278,185,66,120,"185,66,120",Emperor‘s Children,Layer,GW_LAYER_EMPEROR_S_CHILDREN,#B94278,"185,66,120",8,509.3,Medium
PA_PRO_ACRYL_PLUM,Plum,#F4AFCC,244,175,204,"244,175,204",Fulgrim Pink,Layer,GW_LAYER_FULGRIM_PINK,#F4AFCC,"244,175,204",8,771.8,Low/manual audit
PA_PRO_ACRYL_PURPLE,Purple,#F4AFCC,244,175,204,"244,175,204",Fulgrim Pink,Layer,GW_LAYER_FULGRIM_PINK,#F4AFCC,"244,175,204",8,1067.8,Low/manual audit
