Paint_ID,Company,Brand,Product_Line,Paint_Type,Paint_Name,Hex,RGB,Status,Source,Notes,Likely_Reason
AP_SPEEDPAINT_AZTEC_GOLD,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Aztec Gold,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_BRAZEN_COPPER,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Brazen Copper,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_BROADSWORD_SILVER,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Broadsword Silver,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_CARIBBEAN_OCEAN,Army Painter,Speedpaint,Speedpaint,Speedpaint,Caribbean Ocean,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Speedpaint / comparison data missing or unresolved
AP_SPEEDPAINT_CARMINE_DRAGON,Army Painter,Speedpaint,Speedpaint,Speedpaint,Carmine Dragon,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Speedpaint / comparison data missing or unresolved
AP_SPEEDPAINT_ENCHANTED_STEEL,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Enchanted Steel,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_FOREST_SPRITE,Army Painter,Speedpaint,Speedpaint,Speedpaint,Forest Sprite,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Speedpaint / comparison data missing or unresolved
AP_SPEEDPAINT_GLITTERING_LOOT,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Glittering Loot,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_GOLDEN_ARMOUR,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Golden Armour,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_HOARD_BRONZE,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Hoard Bronze,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
AP_SPEEDPAINT_HOPLITE_GOLD,Army Painter,Speedpaint,Speedpaint,Speedpaint Metallic,Hoplite Gold,,,Active/Unknown,A3_Speedpaint_Practical_Naming_Chart.pdf,Official Speedpaint 2.0 practical naming chart; relationships deferred,Metallic / RGB less reliable
