Paint_ID,Pro_Acryl_Paint_Name,Filled_Hex,Filled_R,Filled_G,Filled_B,Filled_RGB,GW_Match_Name,GW_Product_Line,GW_Paint_ID,GW_Hex,GW_RGB,Comparison_Tool_Page,Match_Distance,Match_Confidence,_exact_key,_loose_key,Duplicate_Type,Registry_File,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,GW_Match_Paint_ID,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,Comparison_Page,Match_Method,AK_Match_Code,AK_Match_Name,Vallejo_Model_Match_Code,Vallejo_Model_Match_Name,Vallejo_Game_Match_Code,Vallejo_Game_Match_Name,Match_Source,Review_Flag,Review_Notes,Normalized_Paint_Type_Helper,Speedpaint_Match_Count,Speedpaint_Resolved_Count,Speedpaint_Hex_Fill_Source,Top_Match_Company,Top_Match_Brand,Top_Match_Product_Line,Top_Match_Paint_Type,Top_Match_Paint_ID,Top_Match_Name,Top_Match_Hex,Top_Match_RGB,Top_Match_Similarity,AP_Internal_Match_Paint_ID,AP_Internal_Match_Name,AP_Internal_Match_Product_Line,AP_Internal_Match_Hex,AP_Internal_Match_RGB,AP_Internal_Match_Similarity,Pro_Acryl_Match_Paint_ID,Pro_Acryl_Match_Name,Pro_Acryl_Match_Hex,Pro_Acryl_Match_RGB,Pro_Acryl_Match_Similarity,Speedpaint_Data_Source,AK_Match_Paint_ID,AK_Match_Hex,AK_Match_RGB,AK_Match_Similarity,Vallejo_Model_Match_Paint_ID,Vallejo_Model_Match_Hex,Vallejo_Model_Match_RGB,Vallejo_Model_Match_Similarity,Vallejo_Game_Match_Paint_ID,Vallejo_Game_Match_Hex,Vallejo_Game_Match_RGB,Vallejo_Game_Match_Similarity,GW_Match_Paint_ID.1,GW_Match_Name.1,GW_Match_Product_Line.1,GW_Match_Hex.1,GW_Match_RGB.1,GW_RGB_Distance,Match_Confidence.1,GW_Match_Method,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
PA_PRO_ACRYL_BISMUTH_YELLOW,Bismuth Yellow,#FCB825,252.0,184.0,37.0,"252,184,37",Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4.0,518.6,Medium,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_PALE_YELLOW,Pale Yellow,#E3D28C,227.0,210.0,140.0,"227,210,140",Dorn Yellow,Layer,GW_LAYER_DORN_YELLOW,#E3D28C,"227,210,140",4.0,1320.7,Low/manual audit,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_BRIGHT_PALE_YELLOW,Bright Pale Yellow,#FCB825,252.0,184.0,37.0,"252,184,37",Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4.0,1879.0,Low/manual audit,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_GOLDEN_YELLOW,Golden Yellow,#FFF200,255.0,242.0,0.0,"255,242,0",Flash Gitz Yellow,Layer,GW_LAYER_FLASH_GITZ_YELLOW,#FFF200,"255,242,0",4.0,330.5,High,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_WARM_YELLOW,Warm Yellow,#FCB825,252.0,184.0,37.0,"252,184,37",Averland Sunset,Base,GW_BASE_AVERLAND_SUNSET,#FCB825,"252,184,37",4.0,1022.5,Low/manual audit,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_BURNT_RED,Burnt Red,#C21920,194.0,25.0,32.0,"194,25,32",Evil Sunz Scarlet,Layer,GW_LAYER_EVIL_SUNZ_SCARLET,#C21920,"194,25,32",6.0,1021.6,Low/manual audit,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_DARK_CRIMSON,Dark Crimson,#6A0002,106.0,0.0,2.0,"106,0,2",Khorne Red,Base,GW_BASE_KHORNE_RED,#6A0002,"106,0,2",6.0,518.6,Medium,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_BOLD_PYRROLE_RED,Bold Pyrrole Red,#C21920,194.0,25.0,32.0,"194,25,32",Evil Sunz Scarlet,Layer,GW_LAYER_EVIL_SUNZ_SCARLET,#C21920,"194,25,32",6.0,774.5,Low/manual audit,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_BURGUNDY,Burgundy,#8C0A0C,140.0,10.0,12.0,"140,10,12",Wazdakka Red,Layer,GW_LAYER_WAZDAKKA_RED,#8C0A0C,"140,10,12",7.0,530.9,Medium,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_PRO_ACRYL_DARK_BURGUNDY,Dark Burgundy,#7C1645,124.0,22.0,69.0,"124,22,69",Screamer Pink,Base,GW_BASE_SCREAMER_PINK,#7C1645,"124,22,69",7.0,515.6,Medium,||,|,Exact: Company + Product_Line + Paint_Name,AK_Interactive_registry_26.0.7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
