Status,Diagnosis,Recommended_Action,Reason_Detail,Missing_Registry_File,Missing_Paint_ID,Missing_Company,Missing_Brand,Missing_Product_Line,Missing_Paint_Name,Missing_Paint_Type,Missing_Status,Missing_Hex,Missing_RGB,Candidate_Paint_ID,Candidate_Company,Candidate_Brand,Candidate_Product_Line,Candidate_Paint_Name,Candidate_Paint_Type,Candidate_Hex,Candidate_RGB,Equivalent_Source_Company,Equivalent_Source_Product_Line,Equivalent_Source_Paint_Name,Equivalent_Target_Company,Equivalent_Target_Product_Line,Equivalent_Target_Paint_Name,Similarity_Percent,Confidence,Match_Type,Reference_Source,Reference_Notes
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_AZTEC_GOLD,Army Painter,Speedpaint,Speedpaint,Aztec Gold,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_BRAZEN_COPPER,Army Painter,Speedpaint,Speedpaint,Brazen Copper,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_BROADSWORD_SILVER,Army Painter,Speedpaint,Speedpaint,Broadsword Silver,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
EQUIVALENCY_TARGET_MISSING_COLOR,Equivalency target exists but lacks usable Hex/RGB,"Enrich the target paint first, then rerun this audit.",Equivalent paint exists in registry but does not have both Hex and RGB.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_CARIBBEAN_OCEAN,Army Painter,Speedpaint,Speedpaint,Caribbean Ocean,Speedpaint,Active/Unknown,,,AP_FANATIC_TURQUOISE_SIREN,Army Painter,Warpaints Fanatic,Fanatic,Turquoise Siren,Acrylic,,,Army Painter,Speedpaint 2.0,Caribbean Ocean,Army Painter,Warpaints Fanatic,Turquoise Siren,95.9,Medium,Speedpaint Comparison,ArmyCrafter Speedpaint 2.0 comparison document,Parsed from uploaded Speedpaint comparison DOCX.
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_CARMINE_DRAGON,Army Painter,Speedpaint,Speedpaint,Carmine Dragon,Speedpaint,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_ENCHANTED_STEEL,Army Painter,Speedpaint,Speedpaint,Enchanted Steel,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
UNSUPPORTED_EQUIVALENCY_COMPANY,Equivalency only points to unsupported company,Ignore for automatic enrichment unless this manufacturer is added later.,"Equivalency exists, but target company is not part of the current registry set.",Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_FOREST_SPRITE,Army Painter,Speedpaint,Speedpaint,Forest Sprite,Speedpaint,Active/Unknown,,,,Scale75,,Inktensity,Inktense Lime (SC100),,,,Army Painter,Speedpaint 2.0,Forest Sprite,Scale75,Inktensity,Inktense Lime (SC100),96.4,Medium,Speedpaint Comparison,ArmyCrafter Speedpaint 2.0 comparison document,Parsed from uploaded Speedpaint comparison DOCX.
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_GLITTERING_LOOT,Army Painter,Speedpaint,Speedpaint,Glittering Loot,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_GOLDEN_ARMOUR,Army Painter,Speedpaint,Speedpaint,Golden Armour,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_HOARD_BRONZE,Army Painter,Speedpaint,Speedpaint,Hoard Bronze,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_HOPLITE_GOLD,Army Painter,Speedpaint,Speedpaint,Hoplite Gold,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_PASTEL_LAVENDER,Army Painter,Speedpaint,Speedpaint,Pastel Lavender,Speedpaint,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
UNSUPPORTED_EQUIVALENCY_COMPANY,Equivalency only points to unsupported company,Ignore for automatic enrichment unless this manufacturer is added later.,"Equivalency exists, but target company is not part of the current registry set.",Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_PLASMATIC_BOLT,Army Painter,Speedpaint,Speedpaint,Plasmatic Bolt,Speedpaint,Active/Unknown,,,,Scale75,,Scalecolor,Caribbean Blue (SC49),,,,Army Painter,Speedpaint 2.0,Plasmatic Bolt,Scale75,Scalecolor,Caribbean Blue (SC49),97.8,Medium,Speedpaint Comparison,ArmyCrafter Speedpaint 2.0 comparison document,Parsed from uploaded Speedpaint comparison DOCX.
MANUAL_RESEARCH,No same-company or equivalency match found,Manual research required.,No matching same-company paint name and no equivalency source match found.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_POLISHED_SILVER,Army Painter,Speedpaint,Speedpaint,Polished Silver,Speedpaint Metallic,Active/Unknown,,,,,,,,,,,,,,,,,,,,,
EQUIVALENCY_TARGET_MISSING_COLOR,Equivalency target exists but lacks usable Hex/RGB,"Enrich the target paint first, then rerun this audit.",Equivalent paint exists in registry but does not have both Hex and RGB.,Army_Painter_registry_26.0.11_aligned.csv,AP_SPEEDPAINT_PURPLE_SWARM,Army Painter,Speedpaint,Speedpaint,Purple Swarm,Speedpaint,Active/Unknown,,,AP_FANATIC_DIABOLIC_PLUM,Army Painter,Warpaints Fanatic,Fanatic,Diabolic Plum,Acrylic,,,Army Painter,Speedpaint 2.0,Purple Swarm,Army Painter,Warpaints Fanatic,Diabolic Plum,96.4,Medium,Speedpaint Comparison,ArmyCrafter Speedpaint 2.0 comparison document,Parsed from uploaded Speedpaint comparison DOCX.
