Cluster_Key,Company,Paint_Name,Cluster_Status,Cluster_Size,Rows_With_Color,Rows_Missing_Color,Product_Lines,Paint_Types,Paint_IDs,Missing_Paint_IDs,Example_Hex,Example_RGB,Example_Source_Paint_ID,Recommended_Action
ak interactive|afro shadow,AK Interactive,Afro Shadow,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_AFRO_SHADOW,,#4B0082,75:0:130,AK_3GEN_AFRO_SHADOW,No action needed.
ak interactive|alga green,AK Interactive,Alga Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ALGA_GREEN,,#565F22,86:95:34,AK_3GEN_ALGA_GREEN,No action needed.
ak interactive|aluminium,AK Interactive,Aluminium,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ALUMINIUM,,#AEAEAE,174:174:174,AK_3GEN_ALUMINIUM,No action needed.
ak interactive|amaranth red,AK Interactive,Amaranth Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_AMARANTH_RED,,#D04F28,208:79:40,AK_3GEN_AMARANTH_RED,No action needed.
ak interactive|amethyst blue,AK Interactive,Amethyst Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_AMETHYST_BLUE,,#322B47,50:43:71,AK_3GEN_AMETHYST_BLUE,No action needed.
ak interactive|anodized violet,AK Interactive,Anodized Violet,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ANODIZED_VIOLET,,#9A8494,154:132:148,AK_3GEN_ANODIZED_VIOLET,No action needed.
ak interactive|anthracite grey,AK Interactive,Anthracite Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ANTHRACITE_GREY,,#1D2A2C,29:42:44,AK_3GEN_ANTHRACITE_GREY,No action needed.
ak interactive|aquatic turquoise,AK Interactive,Aquatic Turquoise,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_AQUATIC_TURQUOISE,,#006558,0:101:88,AK_3GEN_AQUATIC_TURQUOISE,No action needed.
ak interactive|ash grey,AK Interactive,Ash Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ASH_GREY,,#42433A,66:67:58,AK_3GEN_ASH_GREY,No action needed.
ak interactive|astral beryllium,AK Interactive,Astral Beryllium,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ASTRAL_BERYLLIUM,,#7D9F8F,125:159:143,AK_3GEN_ASTRAL_BERYLLIUM,No action needed.
ak interactive|basalt grey,AK Interactive,Basalt Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BASALT_GREY,,#5E625E,94:98:94,AK_3GEN_BASALT_GREY,No action needed.
ak interactive|basic skin tone,AK Interactive,Basic Skin Tone,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BASIC_SKIN_TONE,,#F8B57C,248:181:124,AK_3GEN_BASIC_SKIN_TONE,No action needed.
ak interactive|beast brown,AK Interactive,Beast Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BEAST_BROWN,,#8B4513,139:69:19,AK_3GEN_BEAST_BROWN,No action needed.
ak interactive|beige,AK Interactive,Beige,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BEIGE,,#E1B949,225:185:73,AK_3GEN_BEIGE,No action needed.
ak interactive|beige red,AK Interactive,Beige Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BEIGE_RED,,#DE935A,222:147:90,AK_3GEN_BEIGE_RED,No action needed.
ak interactive|black,AK Interactive,Black,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BLACK,,#12120C,18:18:12,AK_3GEN_BLACK,No action needed.
ak interactive|black green,AK Interactive,Black Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BLACK_GREEN,,#182116,24:33:22,AK_3GEN_BLACK_GREEN,No action needed.
ak interactive|black purple,AK Interactive,Black Purple,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BLACK_PURPLE,,#0F0616,15:6:22,AK_3GEN_BLACK_PURPLE,No action needed.
ak interactive|black red,AK Interactive,Black Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BLACK_RED,,#43281F,67:40:31,AK_3GEN_BLACK_RED,No action needed.
ak interactive|blood red,AK Interactive,Blood Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BLOOD_RED,,#C6241B,198:36:27,AK_3GEN_BLOOD_RED,No action needed.
ak interactive|blue green,AK Interactive,Blue Green,COMPLETE,2,2,0,3rd Gen,Acrylic Paint | Acrylic/Metallic comparison color,AK_3GEN_BLUE_GREEN,,#388678,56:134:120,AK_3GEN_BLUE_GREEN,No action needed.
ak interactive|blue grey,AK Interactive,Blue Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BLUE_GREY,,#C7D0CD,199:208:205,AK_3GEN_BLUE_GREY,No action needed.
ak interactive|blue violet,AK Interactive,Blue Violet,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BLUE_VIOLET,,#8A6FA5,138:111:165,AK_3GEN_BLUE_VIOLET,No action needed.
ak interactive|bordeaux red,AK Interactive,Bordeaux Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BORDEAUX_RED,,#A23B30,162:59:48,AK_3GEN_BORDEAUX_RED,No action needed.
ak interactive|brass,AK Interactive,Brass,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BRASS,,#9F5E15,159:94:21,AK_3GEN_BRASS,No action needed.
ak interactive|brick red,AK Interactive,Brick Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BRICK_RED,,#9F4529,159:69:41,AK_3GEN_BRICK_RED,No action needed.
ak interactive|british khaki,AK Interactive,British Khaki,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BRITISH_KHAKI,,#674D21,103:77:33,AK_3GEN_BRITISH_KHAKI,No action needed.
ak interactive|bronze,AK Interactive,Bronze,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BRONZE,,#7D5413,125:84:19,AK_3GEN_BRONZE,No action needed.
ak interactive|brown rose,AK Interactive,Brown Rose,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BROWN_ROSE,,#D98463,217:132:99,AK_3GEN_BROWN_ROSE,No action needed.
ak interactive|brownish green,AK Interactive,Brownish Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BROWNISH_GREEN,,#574715,87:71:21,AK_3GEN_BROWNISH_GREEN,No action needed.
ak interactive|buff,AK Interactive,Buff,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BUFF,,#D2AD5D,210:173:93,AK_3GEN_BUFF,No action needed.
ak interactive|burnt red,AK Interactive,Burnt Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BURNT_RED,,#523125,82:49:37,AK_3GEN_BURNT_RED,No action needed.
ak interactive|burnt tin,AK Interactive,Burnt Tin,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BURNT_TIN,,#311B12,49:27:18,AK_3GEN_BURNT_TIN,No action needed.
ak interactive|burnt umber,AK Interactive,Burnt Umber,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_BURNT_UMBER,,#2B2012,43:32:18,AK_3GEN_BURNT_UMBER,No action needed.
ak interactive|cadmium red,AK Interactive,Cadmium Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_CADMIUM_RED,,#E8592F,232:89:47,AK_3GEN_CADMIUM_RED,No action needed.
ak interactive|camouflage green,AK Interactive,Camouflage Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_CAMOUFLAGE_GREEN,,#4E411D,78:65:29,AK_3GEN_CAMOUFLAGE_GREEN,No action needed.
ak interactive|carmine,AK Interactive,Carmine,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_CARMINE,,#B83F23,184:63:35,AK_3GEN_CARMINE,No action needed.
ak interactive|chocolate chipping,AK Interactive,Chocolate (Chipping),COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_CHOCOLATE_CHIPPING,,#3E2319,62:35:25,AK_3GEN_CHOCOLATE_CHIPPING,No action needed.
ak interactive|cobalt blue,AK Interactive,Cobalt Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_COBALT_BLUE,,#0D2335,13:35:53,AK_3GEN_COBALT_BLUE,No action needed.
ak interactive|cold green,AK Interactive,Cold Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_COLD_GREEN,,#008080,0:128:128,AK_3GEN_COLD_GREEN,No action needed.
ak interactive|command green,AK Interactive,Command Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_COMMAND_GREEN,,#302E18,48:46:24,AK_3GEN_COMMAND_GREEN,No action needed.
ak interactive|copper,AK Interactive,Copper,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_COPPER,,#BB5715,187:87:21,AK_3GEN_COPPER,No action needed.
ak interactive|cork,AK Interactive,Cork,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_CORK,,#A27649,162:118:73,AK_3GEN_CORK,No action needed.
ak interactive|dark aluminium,AK Interactive,Dark Aluminium,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_ALUMINIUM,,#787777,120:119:119,AK_3GEN_DARK_ALUMINIUM,No action needed.
ak interactive|dark blue,AK Interactive,Dark Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_BLUE,,#1E2E4B,30:46:75,AK_3GEN_DARK_BLUE,No action needed.
ak interactive|dark blue grey,AK Interactive,Dark Blue Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_BLUE_GREY,,#4D5E54,77:94:84,AK_3GEN_DARK_BLUE_GREY,No action needed.
ak interactive|dark brown,AK Interactive,Dark Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_BROWN,,#543A17,84:58:23,AK_3GEN_DARK_BROWN,No action needed.
ak interactive|dark flesh,AK Interactive,Dark Flesh,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_FLESH,,#EDA538,237:165:56,AK_3GEN_DARK_FLESH,No action needed.
ak interactive|dark green,AK Interactive,Dark Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_GREEN,,#23461E,35:70:30,AK_3GEN_DARK_GREEN,No action needed.
ak interactive|dark green grey,AK Interactive,Dark Green Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_GREEN_GREY,,#3C4F3D,60:79:61,AK_3GEN_DARK_GREEN_GREY,No action needed.
ak interactive|dark grey,AK Interactive,Dark Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_GREY,,#4B4A44,75:74:68,AK_3GEN_DARK_GREY,No action needed.
ak interactive|dark prussian blue,AK Interactive,Dark Prussian Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_PRUSSIAN_BLUE,,#0C0E1A,12:14:26,AK_3GEN_DARK_PRUSSIAN_BLUE,No action needed.
ak interactive|dark rust,AK Interactive,Dark Rust,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_RUST,,#532711,83:39:17,AK_3GEN_DARK_RUST,No action needed.
ak interactive|dark sand,AK Interactive,Dark Sand,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_SAND,,#E5BD58,229:189:88,AK_3GEN_DARK_SAND,No action needed.
ak interactive|dark sea blue,AK Interactive,Dark Sea Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_SEA_BLUE,,#0D1915,13:25:21,AK_3GEN_DARK_SEA_BLUE,No action needed.
ak interactive|dark sea blue blue grey,AK Interactive,Dark Sea Blue BLUE GREY,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_SEA_BLUE_BLUE_GREY,,#022F8E,2:47:142,AK_3GEN_DARK_SEA_BLUE_BLUE_GREY,No action needed.
ak interactive|dark sea grey,AK Interactive,Dark Sea Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DARK_SEA_GREY,,#7B7973,123:121:115,AK_3GEN_DARK_SEA_GREY,No action needed.
ak interactive|dead red,AK Interactive,Dead Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEAD_RED,,#E94B4C,233:75:76,AK_3GEN_DEAD_RED,No action needed.
ak interactive|deck tan,AK Interactive,Deck Tan,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DECK_TAN,,#D0C5B0,208:197:176,AK_3GEN_DECK_TAN,No action needed.
ak interactive|decomposed flesh,AK Interactive,Decomposed Flesh,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DECOMPOSED_FLESH,,#BAA361,186:163:97,AK_3GEN_DECOMPOSED_FLESH,No action needed.
ak interactive|deep blue,AK Interactive,Deep Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_BLUE,,#1D4167,29:65:103,AK_3GEN_DEEP_BLUE,No action needed.
ak interactive|deep brown,AK Interactive,Deep Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_BROWN,,#874C2B,135:76:43,AK_3GEN_DEEP_BROWN,No action needed.
ak interactive|deep green,AK Interactive,Deep Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_GREEN,,#1D632D,29:99:45,AK_3GEN_DEEP_GREEN,No action needed.
ak interactive|deep purple mc light pink,AK Interactive,Deep Purple MC Light Pink,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_PURPLE_MC_LIGHT_PINK,,#7C4B69,124:75:105,AK_3GEN_DEEP_PURPLE_MC_LIGHT_PINK,No action needed.
ak interactive|deep red,AK Interactive,Deep Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_RED,,#DC211B,220:33:27,AK_3GEN_DEEP_RED,No action needed.
ak interactive|deep sky blue,AK Interactive,Deep Sky Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_SKY_BLUE,,#69B5C7,105:181:199,AK_3GEN_DEEP_SKY_BLUE,No action needed.
ak interactive|deep violet,AK Interactive,Deep Violet,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_VIOLET,,#75556E,117:85:110,AK_3GEN_DEEP_VIOLET,No action needed.
ak interactive|deep yellow,AK Interactive,Deep Yellow,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DEEP_YELLOW,,#FDC607,253:198:7,AK_3GEN_DEEP_YELLOW,No action needed.
ak interactive|dirty red,AK Interactive,Dirty Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DIRTY_RED,,#7F1B10,127:27:16,AK_3GEN_DIRTY_RED,No action needed.
ak interactive|dirty yellow,AK Interactive,Dirty Yellow,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DIRTY_YELLOW,,#EEA81B,238:168:27,AK_3GEN_DIRTY_YELLOW,No action needed.
ak interactive|dragon blood,AK Interactive,Dragon Blood,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DRAGON_BLOOD,,#B84048,184:64:72,AK_3GEN_DRAGON_BLOOD,No action needed.
ak interactive|ducat blue,AK Interactive,Ducat Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_DUCAT_BLUE,,#3A88A1,58:136:161,AK_3GEN_DUCAT_BLUE,No action needed.
ak interactive|emerald,AK Interactive,Emerald,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_EMERALD,,#066343,6:99:67,AK_3GEN_EMERALD,No action needed.
ak interactive|emerald metallic green,AK Interactive,Emerald Metallic Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_EMERALD_METALLIC_GREEN,,#22763A,34:118:58,AK_3GEN_EMERALD_METALLIC_GREEN,No action needed.
ak interactive|english grey,AK Interactive,English Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_ENGLISH_GREY,,#706E65,112:110:101,AK_3GEN_ENGLISH_GREY,No action needed.
ak interactive|extra dark green,AK Interactive,Extra Dark Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_EXTRA_DARK_GREEN,,#22322A,34:50:42,AK_3GEN_EXTRA_DARK_GREEN,No action needed.
ak interactive|faded green,AK Interactive,Faded Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_FADED_GREEN,,#7D8972,125:137:114,AK_3GEN_FADED_GREEN,No action needed.
ak interactive|fluorescent blue,AK Interactive,Fluorescent Blue,COMPLETE,1,1,0,3rd Gen,Acrylic Paint,AK_3GEN_FLUORESCENT_BLUE,,#014063,1:64:99,AK_3GEN_FLUORESCENT_BLUE,No action needed.
ak interactive|fluorescent green,AK Interactive,Fluorescent Green,COMPLETE,1,1,0,3rd Gen,Acrylic Paint,AK_3GEN_FLUORESCENT_GREEN,,#97C122,151:193:34,AK_3GEN_FLUORESCENT_GREEN,No action needed.
ak interactive|fluorescent magenta,AK Interactive,Fluorescent Magenta,COMPLETE,1,1,0,3rd Gen,Acrylic Paint,AK_3GEN_FLUORESCENT_MAGENTA,,#EA4F6A,234:79:106,AK_3GEN_FLUORESCENT_MAGENTA,No action needed.
ak interactive|fluorescent orange,AK Interactive,Fluorescent Orange,COMPLETE,1,1,0,3rd Gen,Acrylic Paint,AK_3GEN_FLUORESCENT_ORANGE,,#EA571F,234:87:31,AK_3GEN_FLUORESCENT_ORANGE,No action needed.
ak interactive|fluorescent yellow,AK Interactive,Fluorescent Yellow,COMPLETE,1,1,0,3rd Gen,Acrylic Paint,AK_3GEN_FLUORESCENT_YELLOW,,#EEE429,238:228:41,AK_3GEN_FLUORESCENT_YELLOW,No action needed.
ak interactive|foundry red,AK Interactive,Foundry Red,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_FOUNDRY_RED,,#C53632,197:54:50,AK_3GEN_FOUNDRY_RED,No action needed.
ak interactive|french blue,AK Interactive,French Blue,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_FRENCH_BLUE,,#555754,85:87:84,AK_3GEN_FRENCH_BLUE,No action needed.
ak interactive|frog green,AK Interactive,Frog Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_FROG_GREEN,,#98B921,152:185:33,AK_3GEN_FROG_GREEN,No action needed.
ak interactive|german field grey,AK Interactive,German Field Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GERMAN_FIELD_GREY,,#423E24,66:62:36,AK_3GEN_GERMAN_FIELD_GREY,No action needed.
ak interactive|german grey,AK Interactive,German Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GERMAN_GREY,,#383830,56:56:48,AK_3GEN_GERMAN_GREY,No action needed.
ak interactive|gold,AK Interactive,Gold,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GOLD,,#9B6716,155:103:22,AK_3GEN_GOLD,No action needed.
ak interactive|golden brown,AK Interactive,Golden Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GOLDEN_BROWN,,#AE7712,174:119:18,AK_3GEN_GOLDEN_BROWN,No action needed.
ak interactive|golden olive,AK Interactive,Golden Olive,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GOLDEN_OLIVE,,#747C28,116:124:40,AK_3GEN_GOLDEN_OLIVE,No action needed.
ak interactive|golden yellow,AK Interactive,Golden Yellow,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GOLDEN_YELLOW,,#F9B14C,249:177:76,AK_3GEN_GOLDEN_YELLOW,No action needed.
ak interactive|graphite,AK Interactive,Graphite,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GRAPHITE,,#6C6F61,108:111:97,AK_3GEN_GRAPHITE,No action needed.
ak interactive|grass green,AK Interactive,Grass Green,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GRASS_GREEN,,#65822C,101:130:44,AK_3GEN_GRASS_GREEN,No action needed.
ak interactive|green grey,AK Interactive,Green Grey,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREEN_GREY,,#E0E5BF,224:229:191,AK_3GEN_GREEN_GREY,No action needed.
ak interactive|green ochre,AK Interactive,Green Ochre,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREEN_OCHRE,,#A68236,166:130:54,AK_3GEN_GREEN_OCHRE,No action needed.
ak interactive|green sky,AK Interactive,Green Sky,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREEN_SKY,,#8BB284,139:178:132,AK_3GEN_GREEN_SKY,No action needed.
ak interactive|green brown,AK Interactive,Green-Brown,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREEN_BROWN,,#705A23,112:90:35,AK_3GEN_GREEN_BROWN,No action needed.
ak interactive|greenish white,AK Interactive,Greenish White,COMPLETE,1,1,0,3rd Gen,Acrylic/Metallic comparison color,AK_3GEN_GREENISH_WHITE,,#E5EECC,229:238:204,AK_3GEN_GREENISH_WHITE,No action needed.
