Paint_ID,Company,Brand,Product_Line,Paint_Type,Paint_Name,Hex,RGB,Status,Source,Notes,Likely_Reason,Priority
VAL_GAME_COLOR_AUXILIARY_AIRBRUSH_THINNER,Vallejo,Game Color Auxiliary,Game Color Auxiliary,Auxiliary,Airbrush Thinner,,,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,Air paint / air equivalent source needed,Medium
VAL_GAME_COLOR_AUXILIARY_GLAZE_MEDIUM,Vallejo,Game Color Auxiliary,Game Color Auxiliary,Auxiliary,Glaze Medium,,,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,"Medium / additive, low priority",Ignore / Very Low
VAL_GAME_COLOR_METALLIC_METAL_MEDIUM,Vallejo,Game Color Metallic,Game Color Metallic,Metallic,Metal Medium,,,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,"Medium / additive, low priority",Ignore / Very Low
VAL_GAME_COLOR_SPECIAL_FX_GLOSS_POLY_VARNISH,Vallejo,Game Color Special FX,Game Color Special FX,Effect,Gloss Poly. Varnish,,,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,Varnish / no normal color value,Ignore / Very Low
VAL_GAME_COLOR_SPECIAL_FX_MATT_POLY_VARNISH,Vallejo,Game Color Special FX,Game Color Special FX,Effect,Matt Poly. Varnish,,,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,Varnish / no normal color value,Ignore / Very Low
VAL_GAME_COLOR_SPECIAL_FX_SATIN_POLY_VARNISH,Vallejo,Game Color Special FX,Game Color Special FX,Effect,Satin Poly. Varnish,,,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,Varnish / no normal color value,Ignore / Very Low
VAL_GAME_COLOR_SPECIAL_FX_ULTRA_MATT_POL_VARN,Vallejo,Game Color Special FX,Game Color Special FX,Effect,Ultra Matt Pol. Varn.,,,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,Effect paint / manual source recommended,Low
VAL_MODEL_AIR_AIRBRUSH,Vallejo,Model Air,Model Air,Acrylic airbrush paint,Airbrush,,,Active/Unknown,CC329-R00-Model-Color-NewIC.pdf,Imported from compiled central database,Air paint / air equivalent source needed,Medium
VAL_MODEL_AIR_AIRBRUSH_THINNER,Vallejo,Model Air,Model Air,Acrylic airbrush paint,Airbrush Thinner,,,Active/Unknown,CC329-R00-Model-Color-NewIC.pdf,Imported from compiled central database,Air paint / air equivalent source needed,Medium
VAL_MODEL_COLOR_BLACK_GLAZE,Vallejo,Model Color,Model Color,Acrylic Paint,Black Glaze,,,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database,Standard acrylic / should be fillable,High
VAL_MODEL_COLOR_BROWN_GLAZE,Vallejo,Model Color,Model Color,Acrylic Paint,Brown Glaze,,,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,Standard acrylic / should be fillable,High
VAL_MODEL_COLOR_DRYING_RETARDER,Vallejo,Model Color,Model Color,Acrylic Paint,Drying Retarder,,,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database,Standard acrylic / should be fillable,High
VAL_MODEL_COLOR_GLAZE_MEDIUM,Vallejo,Model Color,Model Color,Acrylic paint,Glaze Medium,,,Active/Unknown,CC329-R00-Model-Color-NewIC.pdf,Imported from compiled central database,"Medium / additive, low priority",Ignore / Very Low
VAL_MODEL_COLOR_GLOSS_MEDIUM,Vallejo,Model Color,Model Color,Acrylic paint,Gloss Medium,,,Active/Unknown,CC329-R00-Model-Color-NewIC.pdf,Imported from compiled central database,"Medium / additive, low priority",Ignore / Very Low
VAL_MODEL_COLOR_GLOSS_VARNISH,Vallejo,Model Color,Model Color,Acrylic paint,Gloss Varnish,,,Active/Unknown,CC329-R00-Model-Color-NewIC.pdf,Imported from compiled central database,Varnish / no normal color value,Ignore / Very Low
VAL_MODEL_COLOR_GLOSSY_VARNISH,Vallejo,Model Color,Model Color,Acrylic Paint,Glossy Varnish,,,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database,Varnish / no normal color value,Ignore / Very Low
VAL_MODEL_COLOR_LIQUID_MASK,Vallejo,Model Color,Model Color,Acrylic paint,Liquid Mask,,,Active/Unknown,CC329-R00-Model-Color-NewIC.pdf,Imported from compiled central database,Standard acrylic / should be fillable,High
