Source_Company,Source_Product_Line,Source_Paint_Name,Source_Paint_ID,Equivalent_Company,Equivalent_Product_Line,Equivalent_Paint_Name,Equivalent_Paint_ID,Match_Type,Similarity_Percent,Confidence,Equivalent_Category,Source,Source_Document,Notes
Army Painter,Speedpaint 2.0,Gravelord Grey,,Citadel,Contrast,Basilicanum Grey,,Speedpaint Comparison,95.9,Medium,speed paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Two Thin Coats,Wave 1,Oblivion Black Wash,,Speedpaint Comparison,97.5,Medium,washes,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Game Color,Black (73.201),,Speedpaint Comparison,95.2,Medium,washes,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Hobby Paint,Panzer Grey (28.002),,Speedpaint Comparison,97.6,Medium,spray paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Scale75,Scalecolor,Graphene Grey (SC58),,Speedpaint Comparison,98.7,High,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Color,Dark Sea Green (70.868),,Speedpaint Comparison,98.2,High,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Two Thin Coats,Wave 1,Death Reaper,,Speedpaint Comparison,97.3,Medium,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Color,Luftwaffe Uniform (70.816),,Speedpaint Comparison,96.6,Medium,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Citadel,Layer,Eshin Grey,,Speedpaint Comparison,96.2,Medium,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Color,Dark Blue Grey (70.867),,Speedpaint Comparison,96.1,Medium,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,USN Sea Blue (71.295),,Speedpaint Comparison,98.6,High,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Amt-12 Dark Grey (71.308),,Speedpaint Comparison,98.6,High,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Blue Grey (71.115),,Speedpaint Comparison,98.6,High,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Dark Brown RLM61 (71.042),,Speedpaint Comparison,98.1,High,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Dark Grey Blue (71.054),,Speedpaint Comparison,97.9,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Game Air,Black (76.051),,Speedpaint Comparison,97.7,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Game Air,Black (70.602),,Speedpaint Comparison,97.7,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,6K Russian Brown (71.282),,Speedpaint Comparison,97.7,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Panzer Dark Grey (71.056),,Speedpaint Comparison,97.4,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Green RLM72 (71.263),,Speedpaint Comparison,97.3,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Anthracite Grey (71.052),,Speedpaint Comparison,96.7,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,3B Russian Green (71.281),,Speedpaint Comparison,96.4,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Tire Black (71.315),,Speedpaint Comparison,95.9,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Grey Blue (71.005),,Speedpaint Comparison,95.8,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,German Panzer Grey (603),,Speedpaint Comparison,95.6,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Gravelord Grey,,Vallejo,Model Air,Black Grey RLM66 (71.055),,Speedpaint Comparison,95.3,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Occultist Cloak,,Vallejo,Model Air,Signal Blue (71.091),,Speedpaint Comparison,97.9,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Occultist Cloak,,Vallejo,Model Color,Dark Grey (70.994),,Speedpaint Comparison,97.7,Medium,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Occultist Cloak,,Scale75,Fantasy & Games,Necro Grey (SFG42),,Speedpaint Comparison,95.4,Medium,layer paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Grim Black,,Scale75,Inktensity,Inktense Black (SC79),,Speedpaint Comparison,98.2,High,inks,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Grim Black,,Vallejo,Game Color,Black (72.094),,Speedpaint Comparison,98.2,High,inks,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Grim Black,,Citadel,Air,Abaddon Black,,Speedpaint Comparison,98.2,High,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Grim Black,,Vallejo,Model Air,Black (602),,Speedpaint Comparison,98.2,High,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Grim Black,,Citadel,Air,Corvus Black,,Speedpaint Comparison,96.2,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
Army Painter,Speedpaint 2.0,Grim Black,,Vallejo,Metal Color,Gloss Black Primer (77.660),,Speedpaint Comparison,95.8,Medium,airbrush paints,ArmyCrafter Speedpaint 2.0 comparison document,speedpaint_grimblack_thru_absolution green      (1).docx,Parsed from uploaded Speedpaint comparison DOCX.
