Workflow_ID,Superfaction,Faction,Subfaction,Army,Unit,Unit_Type,Source,Review_Status,Notes
ABADDON_THE_DESPOILER_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Abaddon the Despoiler,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_ASPIRING_CHAMPION_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Aspiring Champion,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_BIKERS_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Bikers,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_LAND_RAIDER_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Land Raider,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_LORD_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Lord,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_LORD_WITH_JUMP_PACK_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Lord with Jump Pack,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_PREDATOR_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Predator,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_RHINO_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Rhino,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_SPACE_MARINE_TERMINATOR_LORD_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Space Marine Terminator Lord,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_SPACE_MARINE_TERMINATORS_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Space Marine Terminators,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_SPACE_MARINES_SORCERER_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Space Marines Sorcerer,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CHAOS_VINDICATOR_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Chaos Vindicator,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_CULTISTS_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Cultists,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_DARK_APOSTLE_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Dark Apostle,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_HAVOCS_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Havocs,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_HELBRUTE_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Helbrute,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_HELDRAKE_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Heldrake,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_ICONARCH_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Iconarch,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_LEGIONARY_WITH_BALEFUL_TOME_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Legionary with Baleful Tome,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_MASTER_OF_EXECUTIONS_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Master of Executions,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
BLACK_LEGION_MINDWITCH_WORKFLOW,Chaos,Black Legion,Black Legion,Black Legion,Black Legion Mindwitch,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_DAEMON_PRINCE_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Daemon Prince,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_DEATHSHROUD_BODYGUARD_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Deathshroud Bodyguard,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_FOUL_BLIGHTSPAWN_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Foul Blightspawn,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_MALIGNANT_PLAGUECASTER_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Malignant Plaguecaster,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_MYPHITIC_BLIGHT_HAULER_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Myphitic Blight-hauler,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_NOXIOUS_BLIGHTBRINGER_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Noxious Blightbringer,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_PLAGUE_MARINE_CHAMPION_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Plague Marine Champion,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_PLAGUE_MARINE_ICON_BEARER_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Plague Marine Icon Bearer,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
DEATH_GUARD_PLAGUE_MARINES_WORKFLOW,Chaos,Death Guard,Death Guard,Death Guard,Death Guard Plague Marines,,Chaos.zip scroll video visual seed,Needs Review,Seeded from uploaded Chaos scroll videos; verify against app before final approval.
