Workflow_ID,Superfaction,Faction,Subfaction,Army,Unit,Model_Type,Source_ZIP,Source_Video,Aliases,Status,Notes
IMPERIUM_ADEPTUS_ASTARTES_BLACK_TEMPLAR,Imperium,Adeptus Astartes,,Adeptus Astartes,Black Templar,Infantry,Imperium - Adeptus Astartes.zip,Black Templar.MP4,Adeptus Astartes Black Templar;Black Templar,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_DEATHWATCH,Imperium,Adeptus Astartes,,Adeptus Astartes,Deathwatch,Infantry,Imperium - Adeptus Astartes.zip,Deathwatch.MP4,Adeptus Astartes Deathwatch;Deathwatch,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_GREY_KNIGHTS,Imperium,Adeptus Astartes,,Adeptus Astartes,Grey Knights,Infantry,Imperium - Adeptus Astartes.zip,Grey Knights.MP4,Adeptus Astartes Grey Knights;Grey Knights,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_IRON_HANDS,Imperium,Adeptus Astartes,,Adeptus Astartes,Iron Hands,Infantry,Imperium - Adeptus Astartes.zip,Iron Hands.MP4,Adeptus Astartes Iron Hands;Iron Hands,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_WHITE_SCAR,Imperium,Adeptus Astartes,,Adeptus Astartes,White Scar,Infantry,Imperium - Adeptus Astartes.zip,White Scar.MP4,Adeptus Astartes White Scar;White Scar,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_BLOOD_ANGELS_BLOOD_ANGELS,Imperium,Adeptus Astartes,Blood Angels,Blood Angels,Blood Angels,Infantry,Imperium - Adeptus Astartes.zip,Blood Angels.MP4,Adeptus Astartes Blood Angels;Blood Angels;Blood Angels Blood Angels,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_CADIAN_KARSKIN,Imperium,Adeptus Astartes,Cadian,Cadian,Karskin,Infantry,Imperium - Adeptus Astartes.zip,Cadian - Karskin.MP4,Adeptus Astartes Karskin;Cadian Karskin;Karskin,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_IMPERIAL_FISTS_IMPERIAL_FISTS,Imperium,Adeptus Astartes,Imperial Fists,Imperial Fists,Imperial Fists,Infantry,Imperium - Adeptus Astartes.zip,Imperial Fists.MP4,Adeptus Astartes Imperial Fists;Imperial Fists;Imperial Fists Imperial Fists,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_RAVEN_GUARD_RAVEN_GUARD,Imperium,Adeptus Astartes,Raven Guard,Raven Guard,Raven Guard,Infantry,Imperium - Adeptus Astartes.zip,Raven Guard.MP4,Adeptus Astartes Raven Guard;Raven Guard;Raven Guard Raven Guard,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_SALAMANDERS_SALAMANDERS,Imperium,Adeptus Astartes,Salamanders,Salamanders,Salamanders,Infantry,Imperium - Adeptus Astartes.zip,Salamanders.MP4,Adeptus Astartes Salamanders;Salamanders;Salamanders Salamanders,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_SPACE_WOLVES_SPACE_WOLVES,Imperium,Adeptus Astartes,Space Wolves,Space Wolves,Space Wolves,Infantry,Imperium - Adeptus Astartes.zip,Space Wolves.MP4,Adeptus Astartes Space Wolves;Space Wolves;Space Wolves Space Wolves,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ADEPTUS_ASTARTES_ULTRAMARINES_ULTRAMARINES,Imperium,Adeptus Astartes,Ultramarines,Ultramarines,Ultramarines,Infantry,Imperium - Adeptus Astartes.zip,Ultramarines.MP4,Adeptus Astartes Ultramarines;Ultramarines;Ultramarines Ultramarines,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_ASTRA_MILITARUM_REGIMENTAL_SUPPORT_TANITH_FIRST_AND_ONLY_TEMPESTUS_SCION,Imperium,Astra Militarum,,Astra Militarum,Regimental Support Tanith First and Only Tempestus Scion,Infantry,Imperium.zip,Astra Militarum Regimental Support-Tanith First and Only - Tempestus Scion.MP4,Astra Militarum Regimental Support Tanith First and Only Tempestus Scion;Regimental Support Tanith First and Only Tempestus Scion,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_IMPERIUM_ADEPTUS_CUSTODES_SHADOWKEEPERS_SOLAR_WATCH,Imperium,Imperium,,Imperium,Adeptus Custodes Shadowkeepers Solar Watch,Infantry,Imperium.zip,Adeptus Custodes  Shadowkeepers - Solar Watch.MP4,Adeptus Custodes Shadowkeepers Solar Watch;Imperium Adeptus Custodes Shadowkeepers Solar Watch,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_IMPERIUM_ADEPTUS_MECHANICUS,Imperium,Imperium,,Imperium,Adeptus Mechanicus,Infantry,Imperium.zip,Adeptus Mechanicus.MP4,Adeptus Mechanicus;Imperium Adeptus Mechanicus,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_IMPERIUM_ADEPTUS_SORORITAS_ORDER_OF_THE_LADY_ORDER_OF_THE_BLOODY_ROSE,Imperium,Imperium,,Imperium,Adeptus Sororitas Order of the Lady Order of the Bloody Rose,Infantry,Imperium.zip,Adeptus Sororitas   Order of the Lady - Order of the Bloody Rose.MP4,Adeptus Sororitas Order of the Lady Order of the Bloody Rose;Imperium Adeptus Sororitas Order of the Lady Order of the Bloody Rose,Generated,Generated from uploaded ZIP video filename. Review before final merge.
IMPERIUM_IMPERIUM_AGENTS_OF_THE_ADEPTUS_ARBITES_IMPERIAL_NAVY_BREACHERS_INQUISITION_OFFICIA_ASSASSINORUM,Imperium,Imperium,,Imperium,Agents of the Adeptus Arbites Imperial Navy Breachers Inquisition Officia Assassinorum,Infantry,Imperium.zip,Agents of the Imperium Adeptus Arbites - Imperial Navy Breachers - Inquisition - Officia Assassinorum.MP4,Agents of the Adeptus Arbites Imperial Navy Breachers Inquisition Officia Assassinorum;Imperium Agents of the Adeptus Arbites Imperial Navy Breachers Inquisition Officia Assassinorum,Generated,Generated from uploaded ZIP video filename. Review before final merge.
XENOS_AELDARI_IYANDEN_ALAITOC_BEIL_TAN_HARLEQUINS_SAIM_HANN_ULTHWE,Xenos,Aeldari,Iyanden,Iyanden,Alaitoc Beil Tan Harlequins Saim Hann Ulthwe,Infantry,Xenos.zip,Aeldari             Alaitoc -    Beil-Tan  - Harlequins - Iyanden - Saim-Hann - Ulthwe.MP4,Aeldari Alaitoc Beil Tan Harlequins Saim Hann Ulthwe;Alaitoc Beil Tan Harlequins Saim Hann Ulthwe;Iyanden Alaitoc Beil Tan Harlequins Saim Hann Ulthwe,Generated,Generated from uploaded ZIP video filename. Review before final merge.
XENOS_DRUKHARI_BLACK_DESCENT_COVEN_OF_TWELVE_CULT_OF_RED_GRIEF_CULT_OF_STRIFE_CULT_OF_THE_CURSED_BLADE_KABAL_OF_BLACK_HEART_KABAL_OF_FLAYED_SKULL_KABAL_OF_OBSIDIAN_ROSE_KABAL_OF_POISONED_TONGUE_PROPHETS_OF_FLESH,Xenos,Drukhari,,Drukhari,Black Descent Coven of Twelve Cult of Red Grief Cult of Strife Cult of the Cursed Blade Kabal of Black Heart Kabal of Flayed Skull Kabal of Obsidian Rose Kabal of Poisoned Tongue Prophets of Flesh,Infantry,Xenos.zip,Drukhari Black Descent- Coven of Twelve-Cult of Red Grief-Cult of Strife-Cult of the Cursed Blade-Kabal of Black Heart-Kabal of Flayed Skull-Kabal of Obsidian Rose-Kabal of  Poisoned Tongue-Prophets of Flesh.MP4,Black Descent Coven of Twelve Cult of Red Grief Cult of Strife Cult of the Cursed Blade Kabal of Black Heart Kabal of Flayed Skull Kabal of Obsidian Rose Kabal of Poisoned Tongue Prophets of Flesh;Drukhari Black Descent Coven of Twelve Cult of Red Grief Cult of Strife Cult of the Cursed Blade Kabal of Black Heart Kabal of Flayed Skull Kabal of Obsidian Rose Kabal of Poisoned Tongue Prophets of Flesh,Generated,Generated from uploaded ZIP video filename. Review before final merge.
XENOS_GENESTEALER_CULTS_CULT_OF_THE_FOUR_ARMED_EMPEROR,Xenos,Genestealer Cults,,Genestealer Cults,Cult of the Four Armed Emperor,Infantry,Xenos.zip,Genestealer Cults    Cult of the  Four-Armed Emperor.MP4,Cult of the Four Armed Emperor;Genestealer Cults Cult of the Four Armed Emperor,Generated,Generated from uploaded ZIP video filename. Review before final merge.
XENOS_LEAGUES_OF_VOTANN_LEAGUES_OF_VOTANN,Xenos,Leagues of Votann,,Leagues of Votann,Leagues of Votann,Infantry,Xenos.zip,Leagues of Votann.MP4,Leagues of Votann;Leagues of Votann Leagues of Votann,Generated,Generated from uploaded ZIP video filename. Review before final merge.
XENOS_NECRONS_NECRONS,Xenos,Necrons,,Necrons,Necrons,Infantry,Xenos.zip,Necrons.MP4,Necrons;Necrons Necrons,Generated,Generated from uploaded ZIP video filename. Review before final merge.
